co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
162.44,0.22,1.06,121.32,1.23,20.08,23.5,7.43,2025-04-11 13:00:00
155.63,0.17,0.9,122.35,1.02,16.17,18.96,6.98,2025-04-11 14:00:00
153.48,0.16,0.98,123.06,0.95,14.68,17.21,7.23,2025-04-11 15:00:00
155.9,0.23,1.66,120.49,0.96,14.46,16.92,9.37,2025-04-11 16:00:00
161.1,0.27,2.87,113.45,1.03,15.12,17.61,12.93,2025-04-11 17:00:00
167.15,0.13,4.2,106.37,1.09,15.29,17.8,15.9,2025-04-11 18:00:00
173.57,0.0,5.13,99.39,1.12,15.26,17.77,18.32,2025-04-11 19:00:00
181.47,0.0,5.73,92.46,1.12,15.68,18.2,19.98,2025-04-11 20:00:00
187.66,0.0,6.31,85.93,1.08,16.53,19.07,19.9,2025-04-11 21:00:00
186.89,0.0,6.26,78.73,0.93,17.15,19.67,18.21,2025-04-11 22:00:00
183.98,0.0,5.63,73.2,0.77,17.66,20.17,17.13,2025-04-11 23:00:00
179.72,0.0,4.95,68.26,0.62,17.93,20.42,16.7,2025-04-12 00:00:00
173.43,0.0,4.44,64.53,0.51,17.98,20.39,16.5,2025-04-12 01:00:00
167.85,0.0,4.1,64.02,0.48,18.01,20.33,16.19,2025-04-12 02:00:00
163.86,0.0,3.79,67.62,0.62,18.35,20.64,15.06,2025-04-12 03:00:00
164.21,0.0,3.58,73.14,1.01,19.24,21.65,13.45,2025-04-12 04:00:00
166.75,0.0,3.73,75.3,1.37,19.92,22.49,12.74,2025-04-12 05:00:00
169.23,0.04,4.46,78.73,1.74,20.25,23.07,11.83,2025-04-12 06:00:00
168.58,0.36,4.53,84.33,2.17,20.1,23.24,10.31,2025-04-12 07:00:00
166.36,0.68,3.87,88.65,2.51,20.51,23.87,9.61,2025-04-12 08:00:00
163.67,0.73,3.18,94.08,2.7,21.33,24.73,9.18,2025-04-12 09:00:00
161.85,0.51,2.21,105.15,2.58,21.35,24.44,8.64,2025-04-12 10:00:00
156.85,0.3,1.39,112.74,2.22,21.07,23.71,8.63,2025-04-12 11:00:00
152.43,0.19,0.94,116.32,1.8,20.14,22.37,9.26,2025-04-12 12:00:00
142.63,0.11,0.6,119.78,1.03,13.43,14.83,8.24,2025-04-12 13:00:00
133.81,0.09,0.49,116.81,0.54,8.07,8.93,7.65,2025-04-12 14:00:00
128.92,0.08,0.49,112.61,0.29,5.37,5.91,7.24,2025-04-12 15:00:00
127.44,0.06,0.59,109.05,0.16,3.94,4.28,6.74,2025-04-12 16:00:00
128.24,0.03,0.71,105.52,0.11,2.97,3.2,6.56,2025-04-12 17:00:00
130.17,0.01,0.82,101.14,0.1,2.47,2.66,6.55,2025-04-12 18:00:00
129.89,0.0,0.82,95.29,0.1,2.3,2.46,6.05,2025-04-12 19:00:00
