co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
142.94,0.17,0.87,113.83,1.36,10.11,11.42,4.4,2025-04-11 13:00:00
138.04,0.14,0.78,115.19,1.33,8.19,9.37,3.97,2025-04-11 14:00:00
136.06,0.15,0.86,115.98,1.42,7.58,8.77,3.78,2025-04-11 15:00:00
138.08,0.2,1.5,113.26,1.62,7.69,9.04,4.48,2025-04-11 16:00:00
143.13,0.2,2.81,106.62,1.89,8.3,9.98,5.77,2025-04-11 17:00:00
148.15,0.05,4.24,99.84,2.05,8.88,10.88,6.55,2025-04-11 18:00:00
153.17,0.0,5.17,89.61,1.77,9.19,11.43,6.77,2025-04-11 19:00:00
160.5,0.0,5.87,78.34,1.33,9.71,12.17,6.62,2025-04-11 20:00:00
165.22,0.0,6.13,69.41,1.03,10.51,13.14,5.83,2025-04-11 21:00:00
163.63,0.0,5.79,62.5,0.82,11.29,13.91,6.36,2025-04-11 22:00:00
162.62,0.0,5.04,58.91,0.65,12.25,14.72,7.67,2025-04-11 23:00:00
161.85,0.0,4.27,56.38,0.54,13.34,15.41,8.83,2025-04-12 00:00:00
159.86,0.0,3.61,54.46,0.48,14.29,15.93,9.83,2025-04-12 01:00:00
159.13,0.0,3.14,52.86,0.45,15.26,16.83,10.49,2025-04-12 02:00:00
158.69,0.0,2.86,50.66,0.43,16.23,17.83,10.48,2025-04-12 03:00:00
157.93,0.0,2.77,47.99,0.43,16.72,18.28,5.63,2025-04-12 04:00:00
159.13,0.0,3.23,47.25,0.47,16.87,18.3,4.52,2025-04-12 05:00:00
161.04,0.01,4.17,49.38,0.5,16.62,17.91,4.35,2025-04-12 06:00:00
159.47,0.21,4.3,57.96,0.56,15.59,16.88,4.6,2025-04-12 07:00:00
156.17,0.57,3.78,61.96,0.56,14.06,15.37,6.4,2025-04-12 08:00:00
151.54,0.71,2.95,71.13,0.57,11.9,13.11,8.06,2025-04-12 09:00:00
133.59,0.17,0.87,110.94,0.38,4.1,4.65,2.82,2025-04-12 10:00:00
126.76,0.11,0.59,112.35,0.31,2.74,3.17,2.22,2025-04-12 11:00:00
122.94,0.1,0.51,111.5,0.32,2.38,2.79,2.04,2025-04-12 12:00:00
121.11,0.08,0.5,112.15,0.31,2.03,2.44,1.83,2025-04-12 13:00:00
119.53,0.07,0.53,110.9,0.3,1.72,2.15,1.65,2025-04-12 14:00:00
119.42,0.05,0.63,109.24,0.28,1.58,2.04,1.57,2025-04-12 15:00:00
121.88,0.03,1.03,106.31,0.34,1.77,2.27,1.92,2025-04-12 16:00:00
126.41,0.02,1.56,102.73,0.43,2.33,2.88,2.63,2025-04-12 17:00:00
131.2,0.0,1.84,100.55,0.47,2.94,3.54,3.13,2025-04-12 18:00:00
133.95,0.0,1.79,98.59,0.44,3.35,3.97,3.48,2025-04-12 19:00:00
136.73,0.0,1.67,98.2,0.4,3.52,4.13,3.79,2025-04-12 20:00:00
138.42,0.0,1.53,98.35,0.35,3.51,4.11,3.91,2025-04-12 21:00:00
138.18,0.0,1.33,98.55,0.31,3.43,4.06,3.86,2025-04-12 22:00:00
137.5,0.0,1.15,98.09,0.28,3.34,4.06,3.85,2025-04-12 23:00:00
136.8,0.0,1.0,97.2,0.26,3.24,4.03,3.79,2025-04-13 00:00:00
137.36,0.0,1.1,95.06,0.35,3.36,4.23,4.47,2025-04-13 01:00:00
136.72,0.0,0.97,95.09,0.32,3.39,4.22,4.4,2025-04-13 02:00:00
136.14,0.0,0.87,95.76,0.3,3.39,4.17,4.31,2025-04-13 03:00:00
135.64,0.0,0.83,96.31,0.28,3.28,3.95,3.98,2025-04-13 04:00:00
136.72,0.0,1.04,95.46,0.27,3.18,3.75,3.75,2025-04-13 05:00:00
138.19,0.0,1.41,94.71,0.29,3.11,3.62,3.4,2025-04-13 06:00:00
138.46,0.01,1.67,93.0,0.3,3.0,3.46,2.94,2025-04-13 07:00:00
138.65,0.03,1.76,89.78,0.3,2.91,3.33,2.59,2025-04-13 08:00:00
137.85,0.06,1.64,87.09,0.28,2.84,3.21,2.33,2025-04-13 09:00:00
136.34,0.08,1.43,86.82,0.28,2.84,3.16,2.11,2025-04-13 10:00:00
134.97,0.08,1.36,86.23,0.29,3.01,3.32,2.03,2025-04-13 11:00:00
133.81,0.08,1.34,86.26,0.32,3.25,3.54,1.93,2025-04-13 12:00:00
133.17,0.06,1.17,89.2,0.32,3.12,3.36,1.62,2025-04-13 13:00:00
132.76,0.05,1.2,89.25,0.35,2.99,3.23,1.58,2025-04-13 14:00:00
132.64,0.04,1.41,88.48,0.4,3.05,3.31,1.58,2025-04-13 15:00:00
133.87,0.03,1.9,84.56,0.46,3.28,3.59,1.91,2025-04-13 16:00:00
135.95,0.02,2.57,78.4,0.52,3.67,4.05,2.38,2025-04-13 17:00:00
138.69,0.01,3.01,73.35,0.57,4.05,4.5,2.78,2025-04-13 18:00:00
140.53,0.0,3.15,67.63,0.56,4.27,4.77,3.26,2025-04-13 19:00:00
142.79,0.0,3.25,60.95,0.51,4.38,4.92,3.51,2025-04-13 20:00:00
144.43,0.0,3.25,55.3,0.44,4.39,4.92,3.51,2025-04-13 21:00:00
143.5,0.0,3.07,50.67,0.35,4.31,4.8,3.57,2025-04-13 22:00:00
142.95,0.0,2.8,46.98,0.29,4.15,4.63,3.98,2025-04-13 23:00:00
142.37,0.0,2.48,44.37,0.26,3.96,4.43,4.62,2025-04-14 00:00:00
141.52,0.0,2.2,43.04,0.25,3.78,4.25,5.45,2025-04-14 01:00:00
141.05,0.0,1.99,43.4,0.25,3.65,4.14,6.23,2025-04-14 02:00:00
140.99,0.0,1.85,44.82,0.26,3.53,4.03,6.8,2025-04-14 03:00:00
141.22,0.0,1.84,46.07,0.27,3.39,3.88,6.84,2025-04-14 04:00:00
144.62,0.0,2.33,46.15,0.31,3.32,3.83,5.7,2025-04-14 05:00:00
149.01,0.01,3.27,46.15,0.35,3.34,3.86,4.12,2025-04-14 06:00:00
152.02,0.1,3.73,47.6,0.38,3.21,3.77,2.95,2025-04-14 07:00:00
152.95,0.28,3.61,48.84,0.42,2.99,3.6,2.68,2025-04-14 08:00:00
