co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
142.02,0.17,1.72,92.42,0.77,5.37,7.69,3.18,2025-04-11 13:00:00
141.65,0.18,1.76,91.58,0.77,4.92,7.14,3.29,2025-04-11 14:00:00
141.45,0.17,1.85,90.58,0.76,4.4,6.49,3.36,2025-04-11 15:00:00
142.21,0.14,2.14,89.79,0.76,4.01,5.97,3.44,2025-04-11 16:00:00
143.35,0.06,2.69,88.34,0.79,4.0,6.01,3.59,2025-04-11 17:00:00
144.5,0.01,3.11,87.12,0.84,4.14,6.27,3.65,2025-04-11 18:00:00
144.83,0.0,3.18,86.22,0.86,4.29,6.54,3.59,2025-04-11 19:00:00
145.93,0.0,3.11,86.22,0.87,4.55,6.88,3.51,2025-04-11 20:00:00
147.69,0.0,2.96,86.77,0.86,4.76,7.11,3.4,2025-04-11 21:00:00
148.31,0.0,2.79,87.24,0.85,5.05,7.42,3.27,2025-04-11 22:00:00
149.1,0.0,2.66,87.93,0.85,5.67,8.21,3.19,2025-04-11 23:00:00
149.14,0.0,2.45,89.03,0.84,6.26,9.01,3.13,2025-04-12 00:00:00
147.79,0.0,2.23,89.77,0.82,6.6,9.51,3.06,2025-04-12 01:00:00
147.32,0.0,2.23,90.39,0.86,7.19,10.36,3.19,2025-04-12 02:00:00
147.23,0.0,2.31,90.77,0.91,7.98,11.49,3.4,2025-04-12 03:00:00
146.54,0.0,2.39,90.9,0.94,8.84,12.73,3.58,2025-04-12 04:00:00
146.79,0.0,2.56,90.45,0.97,10.0,14.29,3.75,2025-04-12 05:00:00
147.22,0.1,2.93,89.67,1.0,11.36,15.99,3.9,2025-04-12 06:00:00
147.94,0.34,2.91,89.21,1.02,12.58,17.34,3.99,2025-04-12 07:00:00
148.0,0.51,2.77,89.71,1.04,13.57,18.28,4.14,2025-04-12 08:00:00
147.49,0.56,2.51,91.25,1.04,14.35,18.86,4.46,2025-04-12 09:00:00
148.05,0.51,2.2,96.46,1.05,14.87,19.06,4.62,2025-04-12 10:00:00
147.82,0.51,2.08,99.25,1.09,15.45,19.26,4.92,2025-04-12 11:00:00
147.58,0.49,2.0,101.72,1.11,15.99,19.48,5.14,2025-04-12 12:00:00
147.73,0.47,2.0,104.19,1.11,16.27,19.48,5.34,2025-04-12 13:00:00
147.7,0.47,2.19,105.0,1.13,16.68,19.69,5.73,2025-04-12 14:00:00
148.32,0.48,2.59,104.92,1.18,16.83,19.72,6.19,2025-04-12 15:00:00
150.95,0.55,3.89,98.39,1.29,17.19,20.03,8.09,2025-04-12 16:00:00
154.58,0.46,5.92,87.99,1.39,17.36,20.18,10.26,2025-04-12 17:00:00
157.48,0.12,7.71,79.24,1.46,17.13,19.91,10.43,2025-04-12 18:00:00
158.78,0.0,8.14,73.02,1.48,16.78,19.5,9.45,2025-04-12 19:00:00
158.68,0.0,8.09,68.16,1.4,16.44,19.04,7.8,2025-04-12 20:00:00
158.02,0.0,7.96,65.05,1.28,16.17,18.63,6.34,2025-04-12 21:00:00
154.63,0.0,7.26,67.71,1.23,15.95,18.28,5.42,2025-04-12 22:00:00
152.24,0.0,6.95,65.41,1.18,15.9,18.14,4.89,2025-04-12 23:00:00
149.67,0.0,6.66,62.79,1.19,15.99,18.19,4.48,2025-04-13 00:00:00
148.39,0.0,6.68,68.15,1.54,16.03,18.06,4.18,2025-04-13 01:00:00
146.45,0.0,6.03,66.29,1.37,15.77,17.86,3.91,2025-04-13 02:00:00
144.33,0.0,5.33,65.14,1.28,14.94,17.06,3.78,2025-04-13 03:00:00
142.06,0.0,4.55,66.97,1.29,13.62,15.69,3.75,2025-04-13 04:00:00
141.89,0.01,4.33,67.45,1.35,12.57,14.5,3.67,2025-04-13 05:00:00
143.4,0.22,4.46,67.05,1.46,11.72,13.49,3.64,2025-04-13 06:00:00
146.8,0.6,4.35,65.71,1.58,11.19,12.84,3.64,2025-04-13 07:00:00
150.2,0.88,4.31,64.29,1.7,11.17,12.78,3.84,2025-04-13 08:00:00
153.39,1.03,4.25,65.03,1.87,12.12,13.77,4.4,2025-04-13 09:00:00
157.87,0.89,4.47,68.29,1.97,13.73,15.47,5.31,2025-04-13 10:00:00
159.22,0.88,4.47,70.92,1.83,14.57,16.31,6.14,2025-04-13 11:00:00
159.28,0.98,4.4,72.66,1.63,14.8,16.48,6.9,2025-04-13 12:00:00
160.71,0.58,5.45,73.19,1.47,14.05,15.34,6.94,2025-04-13 13:00:00
159.67,0.46,6.15,74.31,1.32,11.73,12.49,6.09,2025-04-13 14:00:00
158.99,0.31,6.98,75.51,1.26,9.14,9.58,5.26,2025-04-13 15:00:00
159.62,0.2,7.86,75.94,1.25,6.86,7.16,4.84,2025-04-13 16:00:00
160.12,0.13,8.35,75.38,1.21,5.26,5.53,4.73,2025-04-13 17:00:00
160.43,0.03,8.02,75.52,1.14,5.27,5.56,4.76,2025-04-13 18:00:00
162.65,0.0,6.87,78.53,1.12,9.18,9.61,4.82,2025-04-13 19:00:00
169.01,0.0,5.57,86.9,1.17,18.58,19.35,4.69,2025-04-13 20:00:00
177.07,0.0,4.17,99.7,1.22,31.91,33.25,4.23,2025-04-13 21:00:00
180.22,0.0,3.06,109.17,1.18,40.8,42.71,3.62,2025-04-13 22:00:00
181.39,0.0,2.93,111.18,1.15,42.74,44.97,3.4,2025-04-13 23:00:00
180.69,0.0,3.05,110.16,1.15,41.77,44.15,3.43,2025-04-14 00:00:00
178.9,0.0,3.43,105.04,1.11,40.42,42.8,3.66,2025-04-14 01:00:00
179.4,0.0,4.06,98.77,1.09,40.21,42.56,4.25,2025-04-14 02:00:00
180.09,0.0,4.68,92.26,1.14,40.18,42.48,5.0,2025-04-14 03:00:00
180.52,0.0,5.31,86.11,1.25,40.26,42.44,5.6,2025-04-14 04:00:00
181.26,0.0,6.1,80.65,1.37,40.31,42.29,5.69,2025-04-14 05:00:00
183.5,0.04,7.63,75.27,1.51,40.17,41.92,5.58,2025-04-14 06:00:00
186.81,0.13,9.58,70.2,1.61,39.24,40.66,5.22,2025-04-14 07:00:00
190.83,0.37,11.3,65.35,1.61,37.9,38.99,5.06,2025-04-14 08:00:00
193.52,0.7,12.37,61.62,1.6,36.42,37.3,5.12,2025-04-14 09:00:00
194.96,1.32,12.15,61.31,1.59,34.81,35.57,5.4,2025-04-14 10:00:00
194.21,2.05,10.84,65.1,1.57,33.46,34.18,5.6,2025-04-14 11:00:00
193.27,2.41,9.85,69.99,1.58,32.88,33.6,5.74,2025-04-14 12:00:00
192.55,2.34,9.11,76.63,1.6,32.58,33.35,6.09,2025-04-14 13:00:00
189.28,1.98,8.7,81.92,1.6,31.32,32.16,6.67,2025-04-14 14:00:00
184.54,1.63,8.38,86.23,1.6,28.84,29.72,7.12,2025-04-14 15:00:00
181.27,1.26,8.78,88.23,1.6,26.18,27.12,7.75,2025-04-14 16:00:00
181.5,0.75,10.56,85.56,1.69,24.77,25.77,8.89,2025-04-14 17:00:00
183.21,0.17,12.33,82.09,1.91,23.98,25.04,10.15,2025-04-14 18:00:00
185.3,0.0,12.49,80.37,2.22,24.58,25.67,10.24,2025-04-14 19:00:00
186.1,0.0,12.06,79.84,2.32,26.29,27.34,7.92,2025-04-14 20:00:00
185.41,0.0,11.77,76.91,2.32,28.43,29.43,5.54,2025-04-14 21:00:00
180.64,0.0,11.19,72.15,2.14,28.77,29.66,3.9,2025-04-14 22:00:00
174.97,0.0,10.03,71.31,1.81,27.09,27.82,3.2,2025-04-14 23:00:00
168.73,0.0,8.3,74.39,1.55,24.68,25.28,2.91,2025-04-15 00:00:00
162.61,0.0,5.7,83.77,1.33,21.75,22.24,2.81,2025-04-15 01:00:00
160.16,0.0,4.39,89.6,1.2,20.2,20.65,2.78,2025-04-15 02:00:00
158.46,0.0,3.68,93.83,1.15,18.66,19.08,2.78,2025-04-15 03:00:00
157.62,0.0,3.16,97.93,1.11,16.48,16.86,2.72,2025-04-15 04:00:00
157.27,0.0,3.11,100.22,1.13,15.05,15.41,2.58,2025-04-15 05:00:00
158.03,0.05,3.52,101.47,1.19,14.3,14.66,2.39,2025-04-15 06:00:00
