co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
145.2,0.07,0.21,97.62,0.48,0.91,1.26,1.72,2025-04-11 13:00:00
145.13,0.07,0.26,97.57,0.5,0.97,1.36,1.86,2025-04-11 14:00:00
145.06,0.06,0.34,97.29,0.54,1.05,1.49,2.03,2025-04-11 15:00:00
146.43,0.04,0.69,92.94,0.55,1.15,1.77,3.17,2025-04-11 16:00:00
148.13,0.0,1.23,84.96,0.48,1.27,2.19,4.92,2025-04-11 17:00:00
150.4,0.0,1.55,77.64,0.45,1.39,2.58,6.64,2025-04-11 18:00:00
150.8,0.0,1.79,71.36,0.59,1.61,3.03,8.62,2025-04-11 19:00:00
152.14,0.0,2.01,68.33,0.82,1.99,3.59,9.52,2025-04-11 20:00:00
154.04,0.0,2.18,67.46,1.17,2.42,4.14,9.71,2025-04-11 21:00:00
154.19,0.0,2.17,67.04,1.58,2.78,4.58,9.72,2025-04-11 22:00:00
154.83,0.0,2.09,66.12,1.81,3.0,4.84,10.02,2025-04-11 23:00:00
154.92,0.0,1.9,66.64,1.97,3.09,4.89,10.05,2025-04-12 00:00:00
153.91,0.0,1.59,69.1,1.88,2.9,4.55,9.76,2025-04-12 01:00:00
154.07,0.0,1.28,71.35,1.52,2.51,3.94,9.68,2025-04-12 02:00:00
153.67,0.0,1.02,74.82,1.14,2.1,3.32,9.3,2025-04-12 03:00:00
152.96,0.0,0.93,77.41,0.8,1.75,2.82,8.29,2025-04-12 04:00:00
151.95,0.06,1.18,77.66,0.5,1.52,2.55,7.2,2025-04-12 05:00:00
150.94,0.19,1.03,77.43,0.39,1.4,2.44,6.49,2025-04-12 06:00:00
150.37,0.22,0.77,80.73,0.45,1.42,2.44,5.45,2025-04-12 07:00:00
147.45,0.18,0.56,84.89,0.58,1.52,2.51,4.62,2025-04-12 08:00:00
145.67,0.13,0.41,88.06,0.65,1.56,2.53,4.16,2025-04-12 09:00:00
144.59,0.06,0.21,99.1,0.45,0.95,1.51,2.48,2025-04-12 10:00:00
142.58,0.04,0.15,102.63,0.28,0.65,1.05,1.97,2025-04-12 11:00:00
141.67,0.04,0.14,102.84,0.2,0.6,0.95,1.82,2025-04-12 12:00:00
141.96,0.03,0.14,103.12,0.14,0.54,0.88,1.74,2025-04-12 13:00:00
141.79,0.03,0.17,102.06,0.11,0.5,0.82,1.67,2025-04-12 14:00:00
141.62,0.02,0.21,101.0,0.09,0.5,0.79,1.63,2025-04-12 15:00:00
143.03,0.01,0.48,94.18,0.09,0.54,1.02,3.03,2025-04-12 16:00:00
145.51,0.0,0.86,83.62,0.1,0.68,1.46,5.13,2025-04-12 17:00:00
148.55,0.0,1.08,75.07,0.08,0.87,1.88,6.04,2025-04-12 18:00:00
148.65,0.0,1.25,66.33,0.07,1.06,2.26,4.43,2025-04-12 19:00:00
150.8,0.0,1.43,59.72,0.06,1.25,2.66,3.69,2025-04-12 20:00:00
153.52,0.0,1.56,54.27,0.05,1.52,3.1,4.0,2025-04-12 21:00:00
154.44,0.0,1.54,49.46,0.04,1.87,3.57,4.72,2025-04-12 22:00:00
156.35,0.0,1.48,46.04,0.04,2.29,4.06,5.1,2025-04-12 23:00:00
158.27,0.0,1.42,43.33,0.04,2.77,4.59,5.4,2025-04-13 00:00:00
163.07,0.0,1.52,41.78,0.07,4.55,6.18,6.86,2025-04-13 01:00:00
164.54,0.0,1.49,40.92,0.09,5.06,6.49,9.24,2025-04-13 02:00:00
166.01,0.0,1.5,40.9,0.11,5.46,6.69,11.56,2025-04-13 03:00:00
165.17,0.01,1.71,41.5,0.15,5.63,6.66,12.59,2025-04-13 04:00:00
164.41,0.09,2.1,41.35,0.14,5.7,6.68,8.8,2025-04-13 05:00:00
163.52,0.31,2.08,43.04,0.13,5.78,6.79,5.85,2025-04-13 06:00:00
162.29,0.39,1.56,52.43,0.15,5.97,6.96,3.74,2025-04-13 07:00:00
159.18,0.4,1.16,55.82,0.15,6.05,7.12,3.5,2025-04-13 08:00:00
155.72,0.32,0.85,59.8,0.18,6.21,7.33,4.21,2025-04-13 09:00:00
149.8,0.09,0.36,91.68,1.59,3.88,4.52,1.85,2025-04-13 10:00:00
145.32,0.07,0.3,97.54,1.79,2.81,3.32,1.72,2025-04-13 11:00:00
143.05,0.07,0.31,99.34,2.14,2.73,3.23,1.75,2025-04-13 12:00:00
142.9,0.07,0.34,101.87,2.59,2.93,3.44,1.78,2025-04-13 13:00:00
141.9,0.07,0.42,103.15,3.18,3.16,3.7,1.83,2025-04-13 14:00:00
141.32,0.07,0.57,104.12,3.92,3.43,4.0,1.91,2025-04-13 15:00:00
141.9,0.05,1.0,99.06,3.94,3.73,4.46,3.06,2025-04-13 16:00:00
143.65,0.01,1.54,90.66,3.36,4.05,5.01,4.71,2025-04-13 17:00:00
145.36,0.0,1.82,84.4,2.85,4.47,5.63,5.96,2025-04-13 18:00:00
144.79,0.0,1.97,79.07,2.51,4.93,6.22,6.57,2025-04-13 19:00:00
146.24,0.0,2.01,76.53,2.38,5.49,6.83,6.48,2025-04-13 20:00:00
147.33,0.0,1.87,75.06,2.27,5.82,7.14,5.74,2025-04-13 21:00:00
145.69,0.0,1.52,74.87,2.07,5.47,6.69,4.65,2025-04-13 22:00:00
144.65,0.0,1.25,73.51,1.52,4.78,5.95,4.14,2025-04-13 23:00:00
143.29,0.0,1.03,74.1,1.33,3.99,5.14,3.66,2025-04-14 00:00:00
141.53,0.0,0.95,77.26,1.58,3.39,4.51,3.09,2025-04-14 01:00:00
141.45,0.0,0.95,78.06,1.49,3.12,4.24,2.45,2025-04-14 02:00:00
142.2,0.0,0.95,78.68,1.36,3.08,4.2,1.92,2025-04-14 03:00:00
141.94,0.01,1.1,79.0,1.34,3.15,4.28,1.81,2025-04-14 04:00:00
141.82,0.1,1.32,80.16,1.58,3.21,4.38,2.37,2025-04-14 05:00:00
141.39,0.23,1.32,83.25,2.28,3.28,4.47,2.9,2025-04-14 06:00:00
141.61,0.3,1.32,92.13,4.04,3.27,4.42,2.73,2025-04-14 07:00:00
139.81,0.3,1.2,97.05,4.96,3.37,4.43,2.55,2025-04-14 08:00:00
137.84,0.26,1.02,99.98,5.29,3.51,4.51,2.41,2025-04-14 09:00:00
137.7,0.16,0.67,107.48,4.27,3.05,3.78,1.68,2025-04-14 10:00:00
136.16,0.11,0.5,110.05,3.47,2.66,3.23,1.32,2025-04-14 11:00:00
135.11,0.1,0.48,110.36,3.12,2.46,2.98,1.25,2025-04-14 12:00:00
135.58,0.1,0.5,110.98,2.91,2.25,2.73,1.25,2025-04-14 13:00:00
135.92,0.09,0.58,110.16,2.78,1.99,2.45,1.32,2025-04-14 14:00:00
136.68,0.08,0.7,108.59,2.64,1.68,2.12,1.44,2025-04-14 15:00:00
138.5,0.05,0.9,106.29,2.51,1.4,1.85,1.71,2025-04-14 16:00:00
141.0,0.01,1.14,103.58,2.55,1.22,1.72,2.15,2025-04-14 17:00:00
143.7,0.0,1.16,101.27,2.59,1.12,1.67,2.56,2025-04-14 18:00:00
143.21,0.0,1.1,97.73,2.42,1.06,1.65,2.87,2025-04-14 19:00:00
144.64,0.0,1.04,95.97,2.23,1.07,1.7,3.16,2025-04-14 20:00:00
145.56,0.0,1.01,94.5,2.11,1.1,1.77,3.36,2025-04-14 21:00:00
145.0,0.0,0.96,92.11,2.01,1.11,1.81,3.24,2025-04-14 22:00:00
146.0,0.0,0.91,91.08,1.83,1.14,1.87,2.82,2025-04-14 23:00:00
146.94,0.0,0.84,90.29,1.61,1.15,1.91,2.2,2025-04-15 00:00:00
146.35,0.0,0.79,89.02,1.45,1.13,1.91,1.72,2025-04-15 01:00:00
146.71,0.0,0.78,88.5,1.39,1.12,1.92,1.58,2025-04-15 02:00:00
146.83,0.0,0.79,88.01,1.37,1.1,1.92,1.6,2025-04-15 03:00:00
146.51,0.0,0.9,87.04,1.37,1.07,1.9,1.71,2025-04-15 04:00:00
146.25,0.04,1.13,86.33,1.47,1.03,1.87,1.84,2025-04-15 05:00:00
145.87,0.14,1.13,86.93,1.74,0.97,1.78,1.83,2025-04-15 06:00:00
145.72,0.18,1.09,91.02,2.34,0.87,1.59,1.59,2025-04-15 07:00:00
143.65,0.19,0.94,92.52,2.41,0.91,1.59,1.62,2025-04-15 08:00:00
141.29,0.18,0.8,94.08,2.38,1.08,1.73,1.71,2025-04-15 09:00:00
142.47,0.12,0.7,102.23,2.27,1.24,1.75,1.46,2025-04-15 10:00:00
140.61,0.09,0.66,105.99,2.23,1.39,1.81,1.36,2025-04-15 11:00:00
138.89,0.07,0.65,107.58,2.2,1.53,1.93,1.38,2025-04-15 12:00:00
138.66,0.04,0.68,109.32,2.05,1.56,1.96,1.41,2025-04-15 13:00:00
138.0,0.03,0.75,109.06,1.99,1.56,1.96,1.51,2025-04-15 14:00:00
137.66,0.02,0.83,108.27,1.95,1.55,1.98,1.65,2025-04-15 15:00:00
137.85,0.01,0.88,107.64,1.86,1.56,2.03,1.83,2025-04-15 16:00:00
138.41,0.0,0.91,106.88,1.93,1.67,2.22,2.06,2025-04-15 17:00:00
138.97,0.0,0.9,106.66,2.12,1.92,2.55,2.22,2025-04-15 18:00:00
138.51,0.0,0.88,106.57,2.3,2.32,2.96,2.19,2025-04-15 19:00:00
139.46,0.0,0.87,107.74,2.3,2.9,3.55,2.11,2025-04-15 20:00:00
140.59,0.0,0.85,109.22,2.38,3.65,4.33,2.0,2025-04-15 21:00:00
140.41,0.0,0.79,109.62,2.47,4.5,5.13,1.75,2025-04-15 22:00:00
141.41,0.0,0.73,110.49,2.47,5.41,5.99,1.68,2025-04-15 23:00:00
142.67,0.0,0.67,110.96,2.37,6.18,6.79,1.7,2025-04-16 00:00:00
142.55,0.0,0.64,110.18,2.22,6.63,7.28,1.72,2025-04-16 01:00:00
143.32,0.0,0.62,109.2,1.97,6.8,7.42,1.81,2025-04-16 02:00:00
144.04,0.0,0.63,107.84,1.7,6.71,7.26,1.8,2025-04-16 03:00:00
143.8,0.0,0.71,105.79,1.46,6.52,6.99,1.64,2025-04-16 04:00:00
144.03,0.01,0.93,104.1,1.29,6.23,6.63,1.33,2025-04-16 05:00:00
144.2,0.02,1.03,102.77,1.22,5.66,6.06,1.02,2025-04-16 06:00:00
143.92,0.05,0.99,101.89,1.18,4.86,5.35,0.91,2025-04-16 07:00:00
143.12,0.07,0.89,101.26,1.13,4.2,4.82,1.0,2025-04-16 08:00:00
141.74,0.08,0.8,101.16,1.1,3.76,4.58,1.11,2025-04-16 09:00:00
140.45,0.09,0.71,102.74,1.13,3.61,4.93,1.26,2025-04-16 10:00:00
138.15,0.08,0.65,102.01,1.19,3.81,5.9,1.44,2025-04-16 11:00:00
136.62,0.07,0.62,100.34,1.22,4.1,6.71,1.51,2025-04-16 12:00:00
136.63,0.07,0.58,100.32,1.23,3.95,6.77,1.47,2025-04-16 13:00:00
135.37,0.07,0.61,99.42,1.26,3.67,6.58,1.51,2025-04-16 14:00:00
