co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
171.71,5.86,15.26,79.67,13.78,20.01,22.67,1.35,2025-04-11 13:00:00
170.53,4.96,14.31,85.22,13.38,19.98,22.52,1.03,2025-04-11 14:00:00
167.85,3.94,13.34,90.85,12.35,19.24,21.63,0.8,2025-04-11 15:00:00
165.98,3.02,13.17,95.12,11.09,18.27,20.53,0.67,2025-04-11 16:00:00
163.23,2.09,13.69,97.47,9.97,16.73,18.86,0.59,2025-04-11 17:00:00
160.3,0.94,14.61,97.89,8.75,14.33,16.29,0.57,2025-04-11 18:00:00
157.23,0.1,14.33,97.57,7.16,11.03,12.77,0.63,2025-04-11 19:00:00
153.47,0.0,12.43,97.01,5.85,7.95,9.5,0.72,2025-04-11 20:00:00
151.77,0.0,11.41,96.45,5.31,6.58,8.19,0.85,2025-04-11 21:00:00
153.58,0.0,10.66,98.05,5.21,8.12,10.11,0.97,2025-04-11 22:00:00
157.38,0.0,10.42,99.73,5.23,12.96,15.59,1.06,2025-04-11 23:00:00
163.22,0.0,10.47,100.86,5.32,19.52,22.78,1.29,2025-04-12 00:00:00
171.09,0.0,10.4,99.57,5.28,24.42,28.01,1.9,2025-04-12 01:00:00
178.73,0.0,10.26,94.14,5.07,25.71,29.28,2.77,2025-04-12 02:00:00
186.18,0.0,10.04,87.59,4.82,25.12,28.48,3.65,2025-04-12 03:00:00
193.53,0.0,9.88,82.86,4.66,24.97,28.08,4.34,2025-04-12 04:00:00
199.87,0.0,9.74,79.45,4.57,25.8,28.72,4.5,2025-04-12 05:00:00
205.1,0.01,9.64,76.67,4.48,27.21,30.01,4.38,2025-04-12 06:00:00
209.52,0.17,9.82,74.19,4.36,28.59,31.33,4.22,2025-04-12 07:00:00
211.1,0.72,9.46,72.65,4.34,29.42,32.16,4.1,2025-04-12 08:00:00
208.41,1.34,8.76,73.09,4.39,29.68,32.42,4.09,2025-04-12 09:00:00
203.62,1.86,8.1,75.66,4.45,29.53,32.24,3.88,2025-04-12 10:00:00
198.03,2.14,8.0,78.12,4.59,29.63,32.31,3.38,2025-04-12 11:00:00
193.39,2.26,7.97,81.53,4.79,30.62,33.29,2.9,2025-04-12 12:00:00
190.19,2.31,8.27,85.15,5.04,32.34,35.01,2.45,2025-04-12 13:00:00
188.06,2.35,9.11,87.08,5.25,34.0,36.67,2.03,2025-04-12 14:00:00
187.78,2.37,10.58,87.11,5.55,35.49,38.18,1.79,2025-04-12 15:00:00
189.97,1.2,15.29,82.36,6.13,36.34,39.07,1.8,2025-04-12 16:00:00
193.13,0.85,20.85,75.44,7.13,36.96,39.73,1.84,2025-04-12 17:00:00
197.21,0.35,28.16,66.05,8.4,37.9,40.69,1.93,2025-04-12 18:00:00
202.14,0.03,34.53,56.31,9.48,39.75,42.5,2.02,2025-04-12 19:00:00
207.38,0.0,38.43,47.71,9.6,42.87,45.41,1.87,2025-04-12 20:00:00
213.73,0.0,40.23,42.17,9.11,45.6,47.73,1.69,2025-04-12 21:00:00
210.92,0.0,33.79,49.02,7.68,43.69,44.93,1.49,2025-04-12 22:00:00
