co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
153.69,0.24,0.92,93.56,0.66,1.05,1.18,0.4,2025-04-11 13:00:00
155.28,0.19,1.03,93.31,0.59,1.02,1.16,0.37,2025-04-11 14:00:00
156.13,0.12,1.19,93.3,0.55,0.94,1.09,0.36,2025-04-11 15:00:00
156.65,0.03,1.42,92.78,0.54,0.89,1.07,0.34,2025-04-11 16:00:00
158.13,0.0,1.56,91.59,0.53,0.91,1.11,0.33,2025-04-11 17:00:00
158.88,0.0,1.62,89.58,0.56,0.94,1.17,0.39,2025-04-11 18:00:00
157.61,0.0,1.68,86.12,0.56,0.93,1.16,0.45,2025-04-11 19:00:00
157.32,0.0,1.69,83.7,0.59,0.9,1.11,0.65,2025-04-11 20:00:00
156.84,0.0,1.55,82.23,0.62,0.91,1.1,0.92,2025-04-11 21:00:00
154.99,0.0,1.35,81.54,0.63,1.01,1.18,1.14,2025-04-11 22:00:00
154.03,0.0,1.19,82.27,0.65,1.17,1.34,1.34,2025-04-11 23:00:00
153.63,0.0,1.07,83.58,0.68,1.38,1.54,1.54,2025-04-12 00:00:00
152.69,0.0,0.97,85.36,0.69,1.56,1.71,1.62,2025-04-12 01:00:00
152.15,0.0,0.93,86.65,0.64,1.64,1.76,1.56,2025-04-12 02:00:00
152.0,0.0,0.95,88.42,0.59,1.68,1.79,1.46,2025-04-12 03:00:00
153.14,0.01,1.06,91.47,0.57,1.77,1.87,1.43,2025-04-12 04:00:00
153.88,0.05,1.18,92.07,0.55,1.92,2.02,1.31,2025-04-12 05:00:00
154.8,0.12,1.19,91.06,0.46,1.95,2.04,0.89,2025-04-12 06:00:00
156.4,0.18,1.17,89.56,0.36,1.61,1.68,0.59,2025-04-12 07:00:00
157.57,0.24,1.09,88.21,0.34,1.28,1.34,0.45,2025-04-12 08:00:00
159.11,0.25,0.97,88.4,0.37,1.14,1.19,0.38,2025-04-12 09:00:00
158.87,0.24,0.76,90.94,0.38,1.0,1.05,0.35,2025-04-12 10:00:00
158.16,0.19,0.63,94.08,0.38,0.93,0.98,0.34,2025-04-12 11:00:00
156.89,0.16,0.54,96.96,0.38,0.94,0.99,0.33,2025-04-12 12:00:00
156.84,0.14,0.57,99.34,0.39,0.97,1.04,0.33,2025-04-12 13:00:00
157.24,0.11,0.75,100.08,0.41,1.01,1.08,0.37,2025-04-12 14:00:00
157.26,0.06,0.95,99.93,0.41,1.02,1.1,0.4,2025-04-12 15:00:00
157.83,0.02,1.13,99.25,0.42,1.08,1.18,0.44,2025-04-12 16:00:00
158.95,0.0,1.25,97.63,0.41,1.22,1.33,0.47,2025-04-12 17:00:00
160.44,0.0,1.27,95.5,0.41,1.36,1.47,0.47,2025-04-12 18:00:00
159.31,0.0,1.24,93.28,0.44,1.37,1.48,0.56,2025-04-12 19:00:00
158.21,0.0,1.17,92.56,0.43,1.31,1.4,0.56,2025-04-12 20:00:00
156.54,0.0,1.04,93.31,0.39,1.25,1.34,0.47,2025-04-12 21:00:00
155.24,0.0,0.85,95.02,0.33,1.18,1.24,0.3,2025-04-12 22:00:00
154.9,0.0,0.72,95.61,0.31,1.15,1.19,0.29,2025-04-12 23:00:00
154.56,0.0,0.63,95.8,0.32,1.16,1.19,0.3,2025-04-13 00:00:00
154.57,0.0,0.59,96.05,0.33,1.25,1.29,0.32,2025-04-13 01:00:00
155.12,0.0,0.65,94.82,0.36,1.42,1.45,0.36,2025-04-13 02:00:00
156.24,0.0,0.8,93.03,0.39,1.7,1.75,0.37,2025-04-13 03:00:00
158.02,0.0,1.09,90.62,0.37,1.86,1.91,0.28,2025-04-13 04:00:00
159.32,0.03,1.38,88.24,0.35,1.81,1.88,0.24,2025-04-13 05:00:00
160.43,0.08,1.52,85.94,0.35,1.74,1.81,0.24,2025-04-13 06:00:00
