co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
144.91,0.32,1.34,87.09,0.94,1.31,1.68,0.36,2025-04-11 13:00:00
144.22,0.3,1.43,87.24,1.0,1.33,1.7,0.36,2025-04-11 14:00:00
143.52,0.23,1.41,87.63,0.95,1.09,1.43,0.35,2025-04-11 15:00:00
143.99,0.14,1.25,88.53,0.79,0.73,1.02,0.3,2025-04-11 16:00:00
145.08,0.07,1.18,88.05,0.66,0.57,0.81,0.28,2025-04-11 17:00:00
146.17,0.02,1.22,86.85,0.62,0.63,0.85,0.32,2025-04-11 18:00:00
147.36,0.0,1.22,85.71,0.59,0.8,0.99,0.35,2025-04-11 19:00:00
147.56,0.0,1.33,82.97,0.63,0.99,1.2,0.37,2025-04-11 20:00:00
147.19,0.0,1.44,79.51,0.65,1.15,1.38,0.38,2025-04-11 21:00:00
144.6,0.0,1.5,76.51,0.65,1.23,1.46,0.34,2025-04-11 22:00:00
142.57,0.0,1.46,75.66,0.63,1.21,1.44,0.3,2025-04-11 23:00:00
141.36,0.0,1.32,76.72,0.59,1.14,1.37,0.27,2025-04-12 00:00:00
140.9,0.0,1.13,77.97,0.52,1.1,1.33,0.22,2025-04-12 01:00:00
142.6,0.0,1.06,80.37,0.49,1.23,1.52,0.19,2025-04-12 02:00:00
145.12,0.0,1.1,83.49,0.52,1.57,1.97,0.17,2025-04-12 03:00:00
147.87,0.0,1.14,86.57,0.56,1.99,2.52,0.18,2025-04-12 04:00:00
148.33,0.0,1.06,88.9,0.55,2.11,2.67,0.19,2025-04-12 05:00:00
147.11,0.03,0.99,88.84,0.53,1.88,2.34,0.23,2025-04-12 06:00:00
145.92,0.1,0.97,86.64,0.56,1.52,1.91,0.29,2025-04-12 07:00:00
144.75,0.17,1.02,85.9,0.61,1.23,1.56,0.38,2025-04-12 08:00:00
145.25,0.22,1.04,87.06,0.66,1.07,1.38,0.49,2025-04-12 09:00:00
145.81,0.24,1.03,89.92,0.71,1.03,1.34,0.51,2025-04-12 10:00:00
145.85,0.25,1.05,91.38,0.76,1.09,1.41,0.46,2025-04-12 11:00:00
145.34,0.28,1.15,92.36,0.85,1.21,1.55,0.4,2025-04-12 12:00:00
143.73,0.33,1.35,93.35,1.0,1.42,1.83,0.32,2025-04-12 13:00:00
142.68,0.37,1.65,94.59,1.21,1.8,2.38,0.24,2025-04-12 14:00:00
141.64,0.4,2.03,95.83,1.45,2.32,3.17,0.18,2025-04-12 15:00:00
