id,zone,municipality,area,station,eoi,type,component,fromTime,toTime,value,unit,latitude,longitude,timestep,index,color,isValid,isVisible
697,Utenfor sonesystemet,Svalbard,Zeppelinfjellet,Zeppelinfjellet,NO0042R,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,57.0,µg/m³,78.90669,11.88899,3600,1,6ee86e,True,True
2995,Troms og Finnmark,Sør-Varanger,Sør-Varanger,Svanvik,NO0047R,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,87.828,µg/m³,69.45505,30.04075,3600,1,6ee86e,True,True
3074,Stor-Oslo,Oslo,Oslo,Sofienbergparken,NO0073A,Bybakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,76.298778,µg/m³,59.92305,10.76574,3600,1,6ee86e,True,True
2910,Bergen,Bergen,Bergen,Klosterhaugen,NO0120A,Bybakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,77.845,µg/m³,60.395929,5.312674,3600,1,6ee86e,True,True
745,Øst og Sørlandet,Grenland,Grenland,Haukenes,NO0062A,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,85.6,µg/m³,59.20243,9.4871,3600,1,6ee86e,True,True
698,Midt-Norge og Nordland,Hemnes,Tustervatn,Tustervatn,NO0015R,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,83.2,µg/m³,65.83089,13.90655,3600,1,6ee86e,True,True
695,Midt-Norge og Nordland,Sunndal,Kårvatn,Kårvatn,NO0039R,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,72.6,µg/m³,62.78246,8.87658,3600,1,6ee86e,True,True
1087,Øst og Sørlandet,Hurdal,Hurdal,Hurdal25,NO0056R,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,89.6,µg/m³,60.37239,11.07816,3600,1,6ee86e,True,True
696,Øst og Sørlandet,Halden,Prestebakke,Prestebakke,NO0043R,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,75.428,µg/m³,58.99652,11.52767,3600,1,6ee86e,True,True
699,Vestlandet,Karmøy,Sandve,Sandve,NO0052R,Bakgrunnsstasjon,O3,2025-03-19T11:00:00+01:00,2025-03-19T12:00:00+01:00,82.2,µg/m³,59.19722,5.20148,3600,1,6ee86e,True,True
