co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
208.93,3.6,13.06,109.15,6.99,21.67,25.06,5.99,2025-04-11 13:00:00
198.99,2.5,10.76,117.67,6.62,23.68,26.94,5.41,2025-04-11 14:00:00
193.69,1.98,10.4,123.06,6.56,26.19,29.44,5.25,2025-04-11 15:00:00
206.48,2.6,17.11,114.62,6.8,29.58,33.13,7.63,2025-04-11 16:00:00
235.18,3.24,30.58,93.76,7.21,33.63,37.69,11.65,2025-04-11 17:00:00
264.32,1.59,45.4,72.59,7.56,37.18,41.69,14.61,2025-04-11 18:00:00
290.69,0.07,57.91,51.45,7.13,40.69,45.56,15.4,2025-04-11 19:00:00
317.16,0.12,68.34,32.39,6.27,45.23,50.46,13.39,2025-04-11 20:00:00
333.77,0.45,74.38,18.51,5.32,49.8,55.34,11.93,2025-04-11 21:00:00
324.56,0.42,72.54,12.86,4.15,52.84,58.51,11.48,2025-04-11 22:00:00
307.04,0.37,65.21,14.88,3.26,56.18,61.97,9.64,2025-04-11 23:00:00
288.16,0.34,56.78,18.99,2.65,59.48,65.38,7.94,2025-04-12 00:00:00
269.26,0.15,47.65,24.1,2.24,61.82,67.78,6.72,2025-04-12 01:00:00
256.92,0.08,40.2,27.37,1.88,62.98,68.98,6.18,2025-04-12 02:00:00
250.2,0.05,34.47,29.89,1.71,62.47,68.51,5.81,2025-04-12 03:00:00
246.32,0.02,30.11,32.6,1.75,60.44,66.49,5.46,2025-04-12 04:00:00
249.8,0.02,29.75,32.38,2.19,57.81,63.86,5.28,2025-04-12 05:00:00
257.42,0.66,31.71,30.67,2.83,54.99,61.02,5.52,2025-04-12 06:00:00
262.49,4.87,28.18,35.44,3.43,51.6,57.58,6.45,2025-04-12 07:00:00
262.53,8.42,23.71,41.08,4.02,48.57,54.57,9.2,2025-04-12 08:00:00
258.29,9.1,20.97,48.04,4.66,47.06,53.23,12.19,2025-04-12 09:00:00
234.98,5.08,15.94,79.39,5.88,45.19,51.42,10.67,2025-04-12 10:00:00
219.53,3.39,12.47,97.66,5.46,43.6,49.43,10.46,2025-04-12 11:00:00
207.89,2.2,9.68,115.4,5.02,43.17,48.65,10.16,2025-04-12 12:00:00
184.45,1.04,5.73,137.09,3.82,33.91,38.31,8.25,2025-04-12 13:00:00
165.15,0.62,4.01,144.0,2.94,23.0,26.35,7.29,2025-04-12 14:00:00
155.23,0.53,3.93,143.4,2.55,15.44,18.19,7.38,2025-04-12 15:00:00
155.23,0.62,5.92,139.13,2.65,12.07,14.5,8.64,2025-04-12 16:00:00
159.6,0.61,9.61,128.73,3.01,11.04,13.32,10.83,2025-04-12 17:00:00
163.81,0.25,12.98,117.08,3.19,9.99,12.12,12.9,2025-04-12 18:00:00
164.67,0.01,13.72,106.59,3.14,8.88,10.82,14.34,2025-04-12 19:00:00
164.84,0.0,13.36,99.52,3.07,7.69,9.36,14.86,2025-04-12 20:00:00
161.94,0.0,11.88,94.85,2.78,6.06,7.34,14.33,2025-04-12 21:00:00
148.92,0.0,7.19,92.68,1.84,3.6,4.39,12.07,2025-04-12 22:00:00
145.26,0.0,5.44,88.54,1.51,2.71,3.36,11.23,2025-04-12 23:00:00
144.85,0.0,4.79,84.14,1.37,2.5,3.11,9.78,2025-04-13 00:00:00
144.04,0.0,4.47,79.72,1.23,2.38,2.86,6.66,2025-04-13 01:00:00
145.04,0.0,4.38,75.42,1.1,2.3,2.66,3.95,2025-04-13 02:00:00
149.86,0.0,4.77,69.7,1.07,2.53,2.86,2.92,2025-04-13 03:00:00
159.93,0.0,5.92,61.42,1.11,3.32,3.7,2.92,2025-04-13 04:00:00
169.96,0.0,7.65,53.53,1.28,4.4,4.85,3.12,2025-04-13 05:00:00
171.22,0.03,8.7,49.31,1.41,5.24,5.74,3.19,2025-04-13 06:00:00
168.22,0.39,8.55,49.45,1.51,6.11,6.65,3.1,2025-04-13 07:00:00
168.28,1.07,7.82,52.72,1.64,7.11,7.7,3.25,2025-04-13 08:00:00
170.52,1.53,7.04,58.95,1.77,9.48,10.15,3.71,2025-04-13 09:00:00
174.61,1.47,6.28,70.31,1.83,14.38,15.17,4.18,2025-04-13 10:00:00
180.9,1.26,5.86,80.64,1.96,22.11,23.1,4.74,2025-04-13 11:00:00
187.73,1.05,5.48,89.7,2.04,30.54,31.73,5.07,2025-04-13 12:00:00
182.34,0.72,4.29,102.23,1.73,28.08,29.16,4.66,2025-04-13 13:00:00
165.67,0.49,3.19,111.63,1.37,18.28,19.12,4.15,2025-04-13 14:00:00
151.72,0.39,2.79,116.77,1.22,11.04,11.78,4.16,2025-04-13 15:00:00
143.03,0.38,3.22,118.24,1.34,7.41,8.37,4.63,2025-04-13 16:00:00
140.85,0.34,4.61,115.89,1.72,5.89,7.45,5.71,2025-04-13 17:00:00
141.75,0.15,6.1,111.42,2.03,4.25,6.41,6.75,2025-04-13 18:00:00
146.81,0.01,8.24,103.57,2.32,3.3,5.76,8.36,2025-04-13 19:00:00
157.24,0.0,11.24,95.31,2.63,3.1,5.69,10.53,2025-04-13 20:00:00
164.88,0.0,13.02,88.96,2.64,3.17,5.79,10.98,2025-04-13 21:00:00
165.27,0.0,12.43,85.06,2.37,3.36,5.97,10.22,2025-04-13 22:00:00
165.01,0.0,10.91,84.97,2.29,3.63,6.21,9.57,2025-04-13 23:00:00
163.27,0.0,9.06,87.35,2.34,3.68,6.11,8.68,2025-04-14 00:00:00
160.61,0.0,7.52,90.3,2.3,3.36,5.17,7.02,2025-04-14 01:00:00
162.43,0.0,7.76,88.97,2.17,3.2,4.51,5.73,2025-04-14 02:00:00
165.19,0.0,8.51,86.84,2.17,3.18,4.27,4.9,2025-04-14 03:00:00
168.62,0.0,9.91,83.62,2.38,3.32,4.41,4.63,2025-04-14 04:00:00
179.45,0.0,14.21,77.39,2.95,3.81,5.09,4.85,2025-04-14 05:00:00
194.42,0.04,20.86,68.26,3.52,4.72,6.25,5.13,2025-04-14 06:00:00
208.9,1.23,26.09,60.97,4.06,5.57,7.4,5.7,2025-04-14 07:00:00
219.6,3.85,26.31,59.05,4.69,6.19,8.31,7.05,2025-04-14 08:00:00
221.15,5.8,23.28,62.79,5.28,6.88,9.17,8.23,2025-04-14 09:00:00
180.92,2.12,13.99,85.36,3.89,4.66,6.22,5.05,2025-04-14 10:00:00
166.85,1.7,9.97,92.59,3.09,3.5,4.7,4.29,2025-04-14 11:00:00
162.24,1.59,8.79,95.13,2.82,3.5,4.59,4.31,2025-04-14 12:00:00
158.16,1.15,7.72,99.22,2.42,3.22,4.15,4.24,2025-04-14 13:00:00
151.72,0.81,6.63,100.96,2.0,2.69,3.48,4.25,2025-04-14 14:00:00
146.94,0.63,6.38,101.21,1.75,2.38,3.14,4.54,2025-04-14 15:00:00
164.21,1.83,15.67,86.71,2.54,2.79,3.83,8.63,2025-04-14 16:00:00
204.19,4.41,32.89,60.82,4.11,3.94,5.52,15.59,2025-04-14 17:00:00
244.84,5.2,50.13,38.16,5.67,5.22,7.39,22.02,2025-04-14 18:00:00
273.26,2.79,64.02,20.78,6.61,6.12,8.83,27.43,2025-04-14 19:00:00
