co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
135.69,0.11,0.34,112.53,0.47,1.68,1.75,2.46,2025-04-11 13:00:00
135.18,0.1,0.37,114.7,0.5,1.3,1.37,2.5,2025-04-11 14:00:00
135.3,0.08,0.45,115.14,0.53,1.2,1.29,2.61,2025-04-11 15:00:00
136.49,0.04,0.75,112.19,0.57,1.3,1.43,4.59,2025-04-11 16:00:00
138.72,0.0,1.1,107.99,0.64,1.5,1.71,8.33,2025-04-11 17:00:00
140.73,0.0,1.24,105.03,0.71,1.69,1.98,11.89,2025-04-11 18:00:00
140.98,0.0,1.42,100.03,0.74,1.85,2.24,17.0,2025-04-11 19:00:00
143.06,0.0,1.72,95.06,0.76,2.03,2.53,23.79,2025-04-11 20:00:00
144.74,0.0,1.89,91.15,0.75,2.19,2.76,29.82,2025-04-11 21:00:00
145.3,0.0,1.83,87.29,0.7,2.35,2.98,35.83,2025-04-11 22:00:00
146.13,0.0,1.71,83.64,0.65,2.53,3.24,42.23,2025-04-11 23:00:00
146.74,0.0,1.62,80.33,0.59,2.71,3.49,48.16,2025-04-12 00:00:00
147.2,0.0,1.53,77.47,0.55,2.86,3.69,52.56,2025-04-12 01:00:00
147.41,0.0,1.47,75.83,0.54,3.01,3.83,55.12,2025-04-12 02:00:00
147.5,0.0,1.47,76.01,0.58,3.13,3.91,55.13,2025-04-12 03:00:00
145.06,0.0,1.41,85.81,0.78,3.02,3.66,40.19,2025-04-12 04:00:00
144.09,0.18,1.9,86.28,0.86,3.01,3.65,37.05,2025-04-12 05:00:00
143.53,0.46,1.84,86.58,0.93,3.06,3.71,32.82,2025-04-12 06:00:00
140.13,0.32,1.14,99.03,1.06,2.52,2.89,16.92,2025-04-12 07:00:00
136.84,0.26,0.78,100.97,0.86,2.48,2.79,12.88,2025-04-12 08:00:00
133.74,0.16,0.5,102.7,0.71,2.55,2.81,10.2,2025-04-12 09:00:00
129.07,0.05,0.22,102.98,0.44,1.31,1.44,4.91,2025-04-12 10:00:00
126.52,0.04,0.16,101.47,0.33,0.88,0.96,3.69,2025-04-12 11:00:00
125.43,0.03,0.16,100.46,0.3,0.82,0.9,3.61,2025-04-12 12:00:00
126.61,0.02,0.18,101.03,0.31,0.78,0.86,3.6,2025-04-12 13:00:00
127.25,0.02,0.23,101.04,0.32,0.79,0.88,3.6,2025-04-12 14:00:00
128.0,0.01,0.3,101.05,0.34,0.88,0.98,3.63,2025-04-12 15:00:00
128.55,0.0,0.44,99.87,0.37,0.93,1.04,3.95,2025-04-12 16:00:00
130.63,0.0,0.6,98.56,0.35,1.01,1.12,4.11,2025-04-12 17:00:00
132.95,0.0,0.69,98.12,0.31,1.09,1.21,3.61,2025-04-12 18:00:00
133.66,0.0,0.77,95.92,0.31,1.15,1.29,3.37,2025-04-12 19:00:00
135.87,0.0,0.93,94.25,0.41,1.27,1.44,3.62,2025-04-12 20:00:00
137.97,0.0,1.11,92.27,0.61,1.52,1.7,4.21,2025-04-12 21:00:00
139.29,0.0,1.21,89.68,0.73,1.8,2.0,4.85,2025-04-12 22:00:00
141.17,0.0,1.26,86.85,0.89,2.0,2.22,5.88,2025-04-12 23:00:00
143.0,0.0,1.29,84.6,1.09,2.15,2.38,7.36,2025-04-13 00:00:00
143.89,0.0,1.33,83.93,1.32,2.46,2.72,9.53,2025-04-13 01:00:00
145.78,0.0,1.38,81.83,1.54,2.94,3.27,13.12,2025-04-13 02:00:00
147.34,0.0,1.41,80.17,1.73,3.36,3.75,16.51,2025-04-13 03:00:00
147.01,0.01,1.6,78.36,1.84,3.66,4.1,18.51,2025-04-13 04:00:00
147.2,0.19,2.04,78.4,1.97,3.79,4.27,18.33,2025-04-13 05:00:00
146.59,0.45,1.74,81.55,2.22,3.75,4.2,15.11,2025-04-13 06:00:00
142.46,0.38,1.17,90.83,2.24,3.08,3.39,7.05,2025-04-13 07:00:00
