co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
142.95,0.07,0.42,120.12,1.48,2.33,3.56,0.7,2025-04-11 13:00:00
142.86,0.05,0.38,120.09,1.31,2.37,3.66,0.65,2025-04-11 14:00:00
142.64,0.04,0.4,119.7,1.2,2.38,3.73,0.62,2025-04-11 15:00:00
142.59,0.03,0.46,118.58,1.1,2.37,3.77,0.63,2025-04-11 16:00:00
141.97,0.01,0.54,117.5,1.04,2.32,3.77,0.67,2025-04-11 17:00:00
141.05,0.0,0.53,117.05,1.04,2.28,3.73,0.73,2025-04-11 18:00:00
140.24,0.0,0.52,117.04,1.05,2.24,3.67,0.79,2025-04-11 19:00:00
139.17,0.0,0.53,116.85,1.07,2.21,3.6,0.87,2025-04-11 20:00:00
138.15,0.0,0.53,115.85,1.09,2.11,3.44,0.94,2025-04-11 21:00:00
137.11,0.0,0.56,113.28,1.12,1.94,3.26,0.94,2025-04-11 22:00:00
136.55,0.0,0.6,110.79,1.24,1.82,3.17,0.97,2025-04-11 23:00:00
136.14,0.0,0.64,108.66,1.46,1.78,3.13,1.05,2025-04-12 00:00:00
136.19,0.0,0.75,106.2,1.71,1.83,3.24,1.14,2025-04-12 01:00:00
136.08,0.0,0.88,103.0,1.88,1.91,3.47,1.21,2025-04-12 02:00:00
135.91,0.0,0.95,100.39,1.95,1.97,3.65,1.27,2025-04-12 03:00:00
136.01,0.0,1.01,98.29,1.96,2.01,3.79,1.31,2025-04-12 04:00:00
135.76,0.01,1.13,96.85,1.91,2.01,3.82,1.39,2025-04-12 05:00:00
135.38,0.09,1.09,97.0,1.87,1.98,3.76,1.51,2025-04-12 06:00:00
134.93,0.13,0.88,98.89,1.84,1.97,3.68,1.61,2025-04-12 07:00:00
134.45,0.14,0.73,99.73,1.77,2.06,3.81,1.57,2025-04-12 08:00:00
134.08,0.12,0.59,101.59,1.73,2.22,3.99,1.52,2025-04-12 09:00:00
134.23,0.08,0.54,106.39,1.78,2.33,4.09,1.43,2025-04-12 10:00:00
133.96,0.08,0.54,107.58,1.73,2.47,4.18,1.4,2025-04-12 11:00:00
133.78,0.09,0.55,109.14,1.75,2.72,4.36,1.31,2025-04-12 12:00:00
134.37,0.09,0.62,111.75,1.86,3.03,4.56,1.23,2025-04-12 13:00:00
134.63,0.08,0.76,112.81,1.91,3.3,4.73,1.18,2025-04-12 14:00:00
134.96,0.07,0.97,113.08,1.92,3.49,4.85,1.11,2025-04-12 15:00:00
135.29,0.05,1.3,111.08,1.93,3.61,4.92,1.06,2025-04-12 16:00:00
135.5,0.01,1.63,108.2,1.94,3.65,4.92,1.03,2025-04-12 17:00:00
135.5,0.0,1.64,106.41,1.99,3.58,4.84,1.0,2025-04-12 18:00:00
133.17,0.0,1.21,106.81,1.71,2.74,3.77,0.95,2025-04-12 19:00:00
133.09,0.0,1.16,105.85,1.58,2.42,3.44,0.93,2025-04-12 20:00:00
134.42,0.0,1.18,105.69,1.63,2.56,3.89,0.94,2025-04-12 21:00:00
136.37,0.0,1.11,106.59,1.62,2.77,4.61,0.9,2025-04-12 22:00:00
139.75,0.0,1.07,106.43,1.53,2.81,5.13,0.84,2025-04-12 23:00:00
142.74,0.0,1.07,105.06,1.46,2.59,5.17,0.75,2025-04-13 00:00:00
139.45,0.0,1.12,99.72,1.52,2.54,4.54,0.97,2025-04-13 01:00:00
140.75,0.0,1.13,98.37,1.53,2.41,4.41,0.98,2025-04-13 02:00:00
141.81,0.0,1.12,97.49,1.55,2.34,4.35,1.0,2025-04-13 03:00:00
142.7,0.0,1.11,96.8,1.53,2.24,4.2,1.02,2025-04-13 04:00:00
143.66,0.01,1.25,96.66,1.51,2.12,4.03,1.05,2025-04-13 05:00:00
144.25,0.09,1.27,97.05,1.48,2.03,3.86,1.08,2025-04-13 06:00:00
144.29,0.17,1.11,98.11,1.45,2.02,3.78,1.06,2025-04-13 07:00:00
143.97,0.17,0.92,99.92,1.42,2.18,3.88,0.97,2025-04-13 08:00:00
143.95,0.14,0.7,101.88,1.36,2.38,4.03,0.82,2025-04-13 09:00:00
144.23,0.1,0.49,105.98,1.21,2.41,3.93,0.57,2025-04-13 10:00:00
143.29,0.08,0.41,107.58,1.23,2.7,4.25,0.56,2025-04-13 11:00:00
143.14,0.07,0.37,108.82,1.31,3.03,4.65,0.57,2025-04-13 12:00:00
143.67,0.07,0.38,110.17,1.42,3.3,4.97,0.6,2025-04-13 13:00:00
144.18,0.06,0.43,111.07,1.49,3.5,5.25,0.62,2025-04-13 14:00:00
144.38,0.05,0.52,111.79,1.52,3.61,5.46,0.63,2025-04-13 15:00:00
144.77,0.03,0.64,109.56,1.41,3.67,5.64,0.67,2025-04-13 16:00:00
144.97,0.01,0.77,106.6,1.33,3.69,5.74,0.74,2025-04-13 17:00:00
144.62,0.0,0.78,105.24,1.32,3.68,5.78,0.87,2025-04-13 18:00:00
143.88,0.0,0.81,104.15,1.33,3.65,5.76,0.99,2025-04-13 19:00:00
143.24,0.0,0.87,102.54,1.35,3.65,5.77,1.07,2025-04-13 20:00:00
142.84,0.0,0.93,100.49,1.39,3.66,5.78,1.13,2025-04-13 21:00:00
141.57,0.0,0.98,98.09,1.44,3.66,5.8,1.19,2025-04-13 22:00:00
140.88,0.0,1.0,96.31,1.47,3.68,5.85,1.26,2025-04-13 23:00:00
140.32,0.0,0.99,94.8,1.5,3.73,5.94,1.33,2025-04-14 00:00:00
139.95,0.0,0.98,94.05,1.56,3.81,6.07,1.38,2025-04-14 01:00:00
139.55,0.0,0.96,93.84,1.64,3.9,6.18,1.42,2025-04-14 02:00:00
138.9,0.0,0.94,94.05,1.73,3.96,6.26,1.46,2025-04-14 03:00:00
138.57,0.0,0.96,93.43,1.77,4.01,6.25,1.63,2025-04-14 04:00:00
