co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
144.06,0.22,2.11,102.38,1.17,6.04,8.26,6.16,2025-04-11 13:00:00
142.05,0.18,2.22,100.73,1.13,5.81,7.8,6.36,2025-04-11 14:00:00
141.43,0.16,2.6,99.22,1.14,5.79,7.68,6.73,2025-04-11 15:00:00
143.8,0.11,3.44,97.78,1.23,6.14,8.05,7.82,2025-04-11 16:00:00
147.63,0.05,4.47,95.46,1.38,6.68,8.66,9.66,2025-04-11 17:00:00
151.88,0.01,5.04,93.95,1.52,7.5,9.57,11.46,2025-04-11 18:00:00
156.82,0.0,5.5,90.9,1.57,8.45,10.58,13.81,2025-04-11 19:00:00
162.45,0.0,6.21,85.81,1.52,9.39,11.55,15.82,2025-04-11 20:00:00
166.76,0.0,6.72,80.9,1.37,10.26,12.43,14.73,2025-04-11 21:00:00
167.11,0.0,6.63,76.0,1.14,10.86,13.0,12.08,2025-04-11 22:00:00
166.52,0.0,6.03,72.86,0.96,11.63,13.75,10.3,2025-04-11 23:00:00
165.81,0.0,5.36,70.12,0.84,12.51,14.63,8.92,2025-04-12 00:00:00
164.6,0.0,4.86,66.72,0.72,13.24,15.35,7.83,2025-04-12 01:00:00
163.92,0.0,4.65,62.2,0.59,13.77,15.89,7.15,2025-04-12 02:00:00
163.36,0.0,4.61,57.85,0.5,14.06,16.2,6.86,2025-04-12 03:00:00
162.16,0.0,4.74,53.51,0.47,14.06,16.21,6.73,2025-04-12 04:00:00
164.02,0.01,5.71,49.41,0.57,14.18,16.39,6.75,2025-04-12 05:00:00
168.36,0.34,7.16,45.91,0.71,14.49,16.8,6.92,2025-04-12 06:00:00
171.82,1.17,7.47,44.57,0.84,14.83,17.23,7.47,2025-04-12 07:00:00
173.21,2.06,6.92,44.72,0.98,15.2,17.67,9.23,2025-04-12 08:00:00
172.68,2.43,6.18,48.22,1.2,15.95,18.45,11.28,2025-04-12 09:00:00
150.72,0.73,2.72,85.31,1.45,11.17,12.72,6.13,2025-04-12 10:00:00
143.36,0.38,1.58,96.07,1.31,9.49,10.71,5.32,2025-04-12 11:00:00
140.14,0.27,1.16,100.92,1.23,8.88,9.98,5.43,2025-04-12 12:00:00
138.28,0.2,0.91,104.34,1.07,7.09,8.04,5.37,2025-04-12 13:00:00
135.24,0.16,0.84,104.72,0.93,5.27,6.06,5.33,2025-04-12 14:00:00
133.65,0.15,0.92,104.53,0.93,4.25,4.99,5.58,2025-04-12 15:00:00
136.4,0.25,1.89,99.18,1.02,4.31,5.14,8.73,2025-04-12 16:00:00
140.85,0.25,3.58,88.98,1.13,4.68,5.68,13.3,2025-04-12 17:00:00
145.21,0.05,5.08,80.27,1.23,5.08,6.26,15.86,2025-04-12 18:00:00
147.61,0.0,5.66,73.69,1.31,5.61,6.96,16.02,2025-04-12 19:00:00
151.31,0.0,5.99,70.5,1.42,6.32,7.83,14.37,2025-04-12 20:00:00
154.9,0.0,6.18,69.13,1.58,7.15,8.81,12.42,2025-04-12 21:00:00
156.36,0.0,5.86,70.67,1.76,8.28,10.05,11.23,2025-04-12 22:00:00
159.08,0.0,5.78,69.94,1.83,9.41,11.3,11.83,2025-04-12 23:00:00
161.31,0.0,5.63,69.31,1.88,10.4,12.34,12.56,2025-04-13 00:00:00
162.24,0.0,5.41,67.92,1.81,10.95,12.88,12.83,2025-04-13 01:00:00
162.6,0.0,5.27,65.39,1.54,11.18,13.07,12.38,2025-04-13 02:00:00
163.01,0.0,5.18,62.7,1.3,11.22,13.07,11.51,2025-04-13 03:00:00
162.46,0.0,5.23,59.86,1.15,11.14,12.96,11.02,2025-04-13 04:00:00
163.37,0.02,5.95,57.53,1.2,10.98,12.77,11.67,2025-04-13 05:00:00
164.89,0.43,6.58,57.21,1.33,10.56,12.31,12.45,2025-04-13 06:00:00
163.39,1.0,5.96,61.15,1.48,9.83,11.46,12.66,2025-04-13 07:00:00
160.28,1.37,5.2,64.3,1.54,8.92,10.38,13.17,2025-04-13 08:00:00
154.88,1.29,4.28,71.11,1.55,7.93,9.15,12.72,2025-04-13 09:00:00
148.2,0.7,3.0,89.98,1.36,6.05,6.91,10.14,2025-04-13 10:00:00
140.54,0.38,2.1,99.37,1.14,4.43,5.07,8.43,2025-04-13 11:00:00
134.34,0.24,1.61,101.83,0.99,3.15,3.68,7.19,2025-04-13 12:00:00
130.65,0.14,1.39,101.81,0.82,2.52,2.96,5.77,2025-04-13 13:00:00
128.14,0.13,1.37,100.95,0.71,1.98,2.32,5.17,2025-04-13 14:00:00
126.54,0.12,1.47,100.04,0.65,1.53,1.8,4.88,2025-04-13 15:00:00
127.62,0.12,2.02,97.38,0.68,1.26,1.5,5.8,2025-04-13 16:00:00
130.82,0.07,3.05,92.49,0.83,1.13,1.43,7.87,2025-04-13 17:00:00
134.24,0.01,3.83,88.11,0.94,1.02,1.38,9.76,2025-04-13 18:00:00
135.75,0.0,4.28,82.21,0.97,0.95,1.38,11.78,2025-04-13 19:00:00
139.25,0.0,4.89,76.44,0.96,0.97,1.5,13.37,2025-04-13 20:00:00
141.66,0.0,5.38,71.13,0.89,1.01,1.62,12.84,2025-04-13 21:00:00
140.91,0.0,5.41,66.18,0.74,1.04,1.71,10.58,2025-04-13 22:00:00
141.37,0.0,5.32,62.39,0.63,1.12,1.85,7.97,2025-04-13 23:00:00
141.53,0.0,5.17,58.71,0.55,1.18,1.97,6.0,2025-04-14 00:00:00
140.52,0.0,5.03,53.48,0.48,1.2,2.06,5.25,2025-04-14 01:00:00
140.64,0.0,5.01,48.13,0.43,1.23,2.17,5.38,2025-04-14 02:00:00
140.77,0.0,5.07,43.81,0.42,1.32,2.35,5.93,2025-04-14 03:00:00
141.51,0.0,5.34,39.96,0.46,1.41,2.5,6.34,2025-04-14 04:00:00
145.34,0.02,6.56,36.13,0.61,1.58,2.71,6.23,2025-04-14 05:00:00
152.33,0.3,8.5,32.71,0.81,1.85,3.04,6.27,2025-04-14 06:00:00
157.54,0.89,9.54,31.85,0.99,2.13,3.33,6.75,2025-04-14 07:00:00
160.29,1.76,9.32,31.66,1.15,2.33,3.56,8.58,2025-04-14 08:00:00
159.94,2.38,8.47,34.26,1.38,2.58,3.79,10.58,2025-04-14 09:00:00
140.7,0.54,3.5,78.96,1.16,1.46,1.87,4.31,2025-04-14 10:00:00
134.45,0.28,2.06,91.64,0.85,0.92,1.15,3.4,2025-04-14 11:00:00
133.13,0.23,1.74,95.93,0.82,0.94,1.15,3.47,2025-04-14 12:00:00
134.48,0.21,1.71,99.43,0.88,1.11,1.33,4.01,2025-04-14 13:00:00
135.12,0.21,1.99,100.05,0.97,1.33,1.59,5.0,2025-04-14 14:00:00
135.73,0.24,2.49,99.5,1.05,1.45,1.76,5.97,2025-04-14 15:00:00
140.11,0.36,4.14,94.36,1.21,1.65,2.09,9.44,2025-04-14 16:00:00
147.22,0.35,6.69,85.16,1.42,1.91,2.56,14.27,2025-04-14 17:00:00
152.93,0.08,8.61,77.17,1.55,2.08,2.92,17.55,2025-04-14 18:00:00
154.76,0.0,8.76,71.53,1.51,2.13,3.09,17.91,2025-04-14 19:00:00
155.63,0.0,8.38,68.9,1.44,2.24,3.26,16.46,2025-04-14 20:00:00
154.77,0.0,7.82,68.38,1.42,2.64,3.73,13.47,2025-04-14 21:00:00
150.55,0.0,6.75,69.52,1.57,3.27,4.41,10.04,2025-04-14 22:00:00
150.33,0.0,6.2,68.88,1.68,4.04,5.23,8.58,2025-04-14 23:00:00
151.36,0.0,5.81,67.88,1.79,4.97,6.18,7.73,2025-04-15 00:00:00
152.09,0.0,5.35,67.78,1.74,5.81,7.0,6.88,2025-04-15 01:00:00
154.01,0.0,4.84,67.91,1.57,6.34,7.56,6.05,2025-04-15 02:00:00
156.78,0.0,4.4,68.97,1.46,6.81,8.11,5.37,2025-04-15 03:00:00
157.88,0.0,4.08,70.5,1.45,6.99,8.38,5.06,2025-04-15 04:00:00
157.92,0.01,4.27,71.18,1.55,6.66,8.08,4.99,2025-04-15 05:00:00
156.22,0.21,4.54,71.5,1.74,5.76,7.15,5.03,2025-04-15 06:00:00
152.58,0.48,4.14,73.07,1.98,4.55,5.81,5.0,2025-04-15 07:00:00
148.28,0.56,3.97,72.92,2.15,3.68,4.79,5.3,2025-04-15 08:00:00
145.02,0.53,3.92,72.89,2.3,3.27,4.24,5.31,2025-04-15 09:00:00
141.81,0.37,3.38,76.78,2.15,2.98,3.73,4.29,2025-04-15 10:00:00
138.94,0.33,2.91,78.83,1.96,2.89,3.46,3.71,2025-04-15 11:00:00
138.25,0.31,2.79,79.27,1.94,2.93,3.41,3.6,2025-04-15 12:00:00
139.06,0.21,2.84,79.73,1.9,2.85,3.27,3.55,2025-04-15 13:00:00
138.74,0.17,2.79,79.47,1.8,2.63,3.02,3.5,2025-04-15 14:00:00
138.89,0.14,2.93,78.89,1.8,2.48,2.88,3.57,2025-04-15 15:00:00
141.49,0.11,3.64,77.19,1.89,2.49,2.94,4.46,2025-04-15 16:00:00
145.98,0.05,4.81,73.52,1.99,2.6,3.13,6.06,2025-04-15 17:00:00
150.37,0.01,5.75,70.04,2.07,2.69,3.31,7.21,2025-04-15 18:00:00
153.23,0.0,6.2,66.28,2.1,2.71,3.36,7.3,2025-04-15 19:00:00
156.24,0.0,6.59,63.31,1.98,2.79,3.42,6.6,2025-04-15 20:00:00
157.78,0.0,6.78,61.01,1.7,3.02,3.59,5.35,2025-04-15 21:00:00
157.32,0.0,6.46,58.84,1.33,3.32,3.83,4.35,2025-04-15 22:00:00
159.13,0.0,5.84,57.66,1.06,3.71,4.2,4.01,2025-04-15 23:00:00
162.08,0.0,5.14,57.16,0.91,4.3,4.81,3.89,2025-04-16 00:00:00
164.45,0.0,4.68,55.33,0.81,4.79,5.33,3.92,2025-04-16 01:00:00
167.39,0.0,4.58,52.25,0.74,5.13,5.75,4.07,2025-04-16 02:00:00
169.31,0.0,4.64,49.39,0.72,5.55,6.23,4.22,2025-04-16 03:00:00
