co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
139.86,0.08,0.51,111.96,0.86,4.18,5.22,4.5,2025-04-11 13:00:00
138.4,0.07,0.52,114.07,0.84,4.09,5.2,4.41,2025-04-11 14:00:00
135.71,0.06,0.57,114.65,0.82,3.82,4.94,4.22,2025-04-11 15:00:00
134.67,0.06,0.68,115.05,0.82,3.53,4.7,4.39,2025-04-11 16:00:00
135.63,0.02,0.9,114.42,0.84,3.42,4.73,5.05,2025-04-11 17:00:00
138.2,0.0,1.02,114.47,0.87,3.43,4.91,5.73,2025-04-11 18:00:00
139.03,0.0,1.06,112.7,0.93,3.61,5.29,6.4,2025-04-11 19:00:00
141.15,0.0,1.13,110.8,1.0,4.0,5.93,7.21,2025-04-11 20:00:00
142.19,0.0,1.16,108.27,1.08,4.48,6.6,7.93,2025-04-11 21:00:00
142.37,0.0,1.17,103.81,1.07,4.68,6.9,8.91,2025-04-11 22:00:00
142.76,0.0,1.13,98.65,0.98,4.77,7.02,10.32,2025-04-11 23:00:00
142.6,0.0,1.08,93.47,0.87,4.81,7.11,11.66,2025-04-12 00:00:00
141.19,0.0,1.1,84.7,0.66,4.88,7.26,13.29,2025-04-12 01:00:00
141.99,0.0,1.17,76.68,0.52,5.13,7.64,15.61,2025-04-12 02:00:00
143.34,0.0,1.23,72.59,0.46,5.41,8.08,20.54,2025-04-12 03:00:00
141.81,0.0,1.3,69.35,0.45,5.55,8.34,25.63,2025-04-12 04:00:00
142.59,0.01,1.58,64.6,0.45,5.74,8.72,24.64,2025-04-12 05:00:00
143.73,0.19,1.76,59.62,0.42,5.92,9.04,17.45,2025-04-12 06:00:00
145.17,0.32,1.39,65.06,0.46,6.16,9.0,10.44,2025-04-12 07:00:00
144.5,0.34,1.1,66.8,0.47,6.56,9.32,10.27,2025-04-12 08:00:00
143.66,0.27,0.83,70.56,0.49,7.23,9.89,10.33,2025-04-12 09:00:00
143.25,0.12,0.45,89.91,0.76,6.17,7.78,5.66,2025-04-12 10:00:00
140.37,0.07,0.3,93.46,0.68,4.81,6.02,4.54,2025-04-12 11:00:00
138.6,0.05,0.27,93.43,0.63,4.33,5.47,4.58,2025-04-12 12:00:00
138.77,0.06,0.27,93.47,0.59,4.21,5.35,4.89,2025-04-12 13:00:00
137.72,0.06,0.31,91.19,0.53,4.08,5.21,5.4,2025-04-12 14:00:00
136.49,0.07,0.39,88.84,0.48,3.75,4.89,5.95,2025-04-12 15:00:00
136.37,0.07,0.6,84.59,0.43,3.61,4.82,7.19,2025-04-12 16:00:00
137.44,0.04,0.96,79.26,0.38,3.71,5.08,9.03,2025-04-12 17:00:00
139.52,0.0,1.23,76.38,0.34,3.92,5.44,9.51,2025-04-12 18:00:00
140.32,0.0,1.33,75.37,0.31,4.24,5.84,8.28,2025-04-12 19:00:00
142.75,0.0,1.36,76.8,0.31,4.63,6.27,7.32,2025-04-12 20:00:00
144.82,0.0,1.33,78.46,0.28,5.01,6.58,6.46,2025-04-12 21:00:00
144.92,0.0,1.25,78.93,0.22,5.11,6.5,5.52,2025-04-12 22:00:00
145.14,0.0,1.21,77.48,0.15,4.94,6.21,4.82,2025-04-12 23:00:00
145.54,0.0,1.22,74.68,0.19,4.71,5.94,4.29,2025-04-13 00:00:00
144.66,0.0,1.07,73.35,0.27,4.65,5.92,4.35,2025-04-13 01:00:00
144.89,0.0,1.09,71.87,0.48,4.49,5.76,4.41,2025-04-13 02:00:00
145.18,0.0,1.15,71.24,0.96,4.42,5.73,4.54,2025-04-13 03:00:00
144.93,0.0,1.25,71.01,1.96,4.67,6.05,4.61,2025-04-13 04:00:00
145.29,0.01,1.6,70.08,3.5,5.38,6.9,4.74,2025-04-13 05:00:00
145.69,0.17,1.94,69.87,5.35,6.42,8.04,4.82,2025-04-13 06:00:00
146.2,0.39,1.88,71.61,7.03,7.56,9.21,4.93,2025-04-13 07:00:00
144.55,0.44,1.65,74.39,7.45,8.45,10.09,5.35,2025-04-13 08:00:00
142.61,0.34,1.25,79.32,7.04,9.16,10.75,5.66,2025-04-13 09:00:00
141.04,0.19,0.8,88.23,6.09,8.66,10.09,5.35,2025-04-13 10:00:00
137.52,0.12,0.55,92.95,5.07,8.34,9.66,5.06,2025-04-13 11:00:00
134.5,0.09,0.45,96.42,4.11,7.97,9.21,5.0,2025-04-13 12:00:00
133.71,0.04,0.47,101.6,2.48,6.32,7.4,4.99,2025-04-13 13:00:00
132.67,0.04,0.54,100.12,1.57,5.31,6.33,5.6,2025-04-13 14:00:00
132.18,0.03,0.69,97.68,1.11,4.72,5.73,6.23,2025-04-13 15:00:00
132.97,0.02,1.07,90.42,0.77,4.46,5.58,8.23,2025-04-13 16:00:00
135.18,0.01,1.57,80.48,0.56,4.53,5.92,11.2,2025-04-13 17:00:00
137.69,0.0,1.87,73.88,0.43,4.69,6.37,12.56,2025-04-13 18:00:00
138.2,0.0,2.05,68.17,0.35,4.9,6.79,12.01,2025-04-13 19:00:00
139.8,0.0,2.17,64.18,0.29,5.17,7.25,11.28,2025-04-13 20:00:00
140.93,0.0,2.24,61.1,0.24,5.41,7.58,10.58,2025-04-13 21:00:00
140.3,0.0,2.21,58.14,0.18,5.56,7.68,9.78,2025-04-13 22:00:00
140.17,0.0,2.11,56.0,0.15,5.73,7.79,8.81,2025-04-13 23:00:00
140.29,0.0,1.95,54.98,0.13,5.84,7.83,7.79,2025-04-14 00:00:00
139.1,0.0,1.71,55.42,0.13,5.78,7.62,7.08,2025-04-14 01:00:00
138.35,0.0,1.5,56.73,0.14,5.61,7.24,7.37,2025-04-14 02:00:00
137.78,0.0,1.32,60.37,0.15,5.36,6.75,7.96,2025-04-14 03:00:00
138.12,0.0,0.94,75.37,0.2,4.93,5.86,6.43,2025-04-14 04:00:00
138.37,0.0,0.96,78.51,0.2,4.58,5.33,5.25,2025-04-14 05:00:00
138.79,0.02,1.16,78.75,0.2,4.3,4.98,4.29,2025-04-14 06:00:00
138.48,0.05,1.24,78.66,0.2,4.0,4.64,3.54,2025-04-14 07:00:00
137.87,0.08,1.22,78.91,0.2,3.79,4.4,3.24,2025-04-14 08:00:00
137.25,0.09,1.1,81.22,0.19,3.66,4.22,2.97,2025-04-14 09:00:00
136.69,0.08,0.96,85.79,0.19,3.64,4.14,2.58,2025-04-14 10:00:00
135.29,0.07,0.91,86.28,0.24,3.82,4.35,2.71,2025-04-14 11:00:00
133.95,0.08,0.86,86.48,0.34,4.15,4.7,2.91,2025-04-14 12:00:00
132.99,0.06,0.56,94.87,0.53,4.93,5.37,2.28,2025-04-14 13:00:00
131.69,0.04,0.54,94.72,0.55,5.12,5.55,2.38,2025-04-14 14:00:00
130.68,0.03,0.65,93.27,0.6,5.32,5.81,2.7,2025-04-14 15:00:00
131.48,0.01,0.93,90.31,0.71,5.87,6.53,3.82,2025-04-14 16:00:00
132.77,0.0,1.28,86.06,0.96,6.75,7.7,5.09,2025-04-14 17:00:00
134.64,0.0,1.55,83.01,1.43,7.78,9.06,5.16,2025-04-14 18:00:00
135.56,0.0,1.79,79.78,2.13,8.77,10.35,4.66,2025-04-14 19:00:00
137.93,0.0,2.03,76.72,2.88,9.52,11.38,4.51,2025-04-14 20:00:00
140.2,0.0,2.23,73.19,3.41,9.8,11.85,4.49,2025-04-14 21:00:00
141.82,0.0,2.32,69.44,3.63,9.66,11.76,4.54,2025-04-14 22:00:00
143.63,0.0,2.32,65.78,3.41,9.33,11.43,4.67,2025-04-14 23:00:00
144.73,0.0,2.24,63.16,3.05,8.88,10.9,4.78,2025-04-15 00:00:00
144.72,0.0,2.12,61.2,2.97,8.05,9.57,3.94,2025-04-15 01:00:00
144.68,0.0,1.99,59.58,2.39,7.14,8.02,2.68,2025-04-15 02:00:00
144.04,0.0,1.86,58.54,1.7,6.35,6.85,2.03,2025-04-15 03:00:00
141.94,0.0,1.71,57.82,1.17,5.56,5.9,1.78,2025-04-15 04:00:00
140.32,0.0,1.68,57.63,0.88,4.98,5.29,1.67,2025-04-15 05:00:00
138.77,0.02,1.78,58.49,0.7,4.46,4.77,1.56,2025-04-15 06:00:00
136.23,0.1,1.62,62.66,0.6,3.94,4.28,1.53,2025-04-15 07:00:00
132.78,0.14,1.39,67.05,0.64,3.51,3.92,1.84,2025-04-15 08:00:00
129.65,0.15,1.11,72.43,0.77,3.25,3.74,2.27,2025-04-15 09:00:00
127.94,0.11,0.72,83.59,0.95,3.04,3.6,2.43,2025-04-15 10:00:00
125.23,0.08,0.51,89.89,1.06,2.79,3.39,2.58,2025-04-15 11:00:00
123.2,0.06,0.43,93.35,1.15,2.45,3.05,2.66,2025-04-15 12:00:00
122.97,0.05,0.42,97.11,1.2,2.01,2.57,2.67,2025-04-15 13:00:00
122.6,0.05,0.44,98.24,1.25,1.67,2.21,2.69,2025-04-15 14:00:00
122.74,0.05,0.51,98.03,1.25,1.5,2.02,2.7,2025-04-15 15:00:00
123.86,0.05,0.66,96.46,1.23,1.5,2.04,3.11,2025-04-15 16:00:00
125.46,0.03,0.94,93.86,1.25,1.64,2.28,4.05,2025-04-15 17:00:00
127.12,0.0,1.11,92.25,1.21,1.84,2.57,4.82,2025-04-15 18:00:00
127.76,0.0,1.11,90.66,1.14,2.07,2.89,5.37,2025-04-15 19:00:00
129.33,0.0,1.1,89.92,1.11,2.34,3.23,5.91,2025-04-15 20:00:00
130.71,0.0,1.08,89.21,1.05,2.56,3.49,6.31,2025-04-15 21:00:00
130.43,0.0,1.01,87.55,0.94,2.68,3.58,6.64,2025-04-15 22:00:00
130.88,0.0,0.94,85.93,0.83,2.75,3.66,7.12,2025-04-15 23:00:00
130.98,0.0,0.88,84.1,0.74,2.79,3.75,7.39,2025-04-16 00:00:00
129.79,0.0,0.82,81.44,0.65,2.78,3.82,7.55,2025-04-16 01:00:00
129.3,0.0,0.79,79.63,0.59,2.78,3.98,8.06,2025-04-16 02:00:00
128.73,0.0,0.79,78.02,0.55,2.78,4.25,8.62,2025-04-16 03:00:00
128.16,0.0,0.83,76.53,0.55,2.8,4.72,8.87,2025-04-16 04:00:00
128.28,0.01,1.04,74.63,0.6,2.88,5.45,8.57,2025-04-16 05:00:00
128.87,0.12,1.19,72.82,0.68,2.97,6.22,8.03,2025-04-16 06:00:00
128.84,0.25,1.16,71.77,0.8,3.04,6.75,7.58,2025-04-16 07:00:00
127.82,0.29,1.04,72.34,0.94,3.18,7.13,7.47,2025-04-16 08:00:00
126.45,0.23,0.82,76.54,1.12,3.65,7.95,7.09,2025-04-16 09:00:00
126.57,0.09,0.42,96.79,1.28,4.37,11.79,3.93,2025-04-16 10:00:00
125.41,0.06,0.3,102.1,1.34,4.72,13.1,3.04,2025-04-16 11:00:00
124.64,0.06,0.29,103.87,1.53,4.94,13.16,2.95,2025-04-16 12:00:00
125.33,0.06,0.31,106.2,1.77,5.3,13.45,3.01,2025-04-16 13:00:00
125.0,0.06,0.38,107.0,2.01,5.71,13.75,3.21,2025-04-16 14:00:00
