co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
165.09,0.53,2.49,80.13,3.17,41.2,42.45,25.55,2025-04-11 13:00:00
163.94,0.42,2.06,85.8,2.85,42.38,43.63,21.0,2025-04-11 14:00:00
162.23,0.33,1.8,90.75,2.51,42.36,43.59,16.9,2025-04-11 15:00:00
160.89,0.32,1.84,90.9,2.25,41.86,43.06,14.49,2025-04-11 16:00:00
160.49,0.35,2.34,88.84,2.23,41.29,42.5,14.62,2025-04-11 17:00:00
160.84,0.28,3.16,87.86,2.44,40.91,42.13,16.01,2025-04-11 18:00:00
162.72,0.08,3.97,88.05,2.91,40.74,41.97,18.35,2025-04-11 19:00:00
165.02,0.0,4.14,87.76,3.33,40.75,41.99,19.9,2025-04-11 20:00:00
166.77,0.0,4.04,87.3,3.58,41.04,42.24,20.93,2025-04-11 21:00:00
166.88,0.0,3.87,86.45,3.63,40.33,41.4,20.71,2025-04-11 22:00:00
167.05,0.0,3.61,86.38,3.39,39.46,40.43,18.82,2025-04-11 23:00:00
166.28,0.0,3.11,87.68,2.73,38.91,39.83,15.08,2025-04-12 00:00:00
165.46,0.0,2.52,90.62,2.14,38.43,39.33,11.67,2025-04-12 01:00:00
165.54,0.0,2.2,91.28,1.78,37.58,38.46,10.64,2025-04-12 02:00:00
165.44,0.0,2.01,91.32,1.55,36.56,37.4,10.4,2025-04-12 03:00:00
165.01,0.0,1.88,90.44,1.37,35.01,35.81,10.39,2025-04-12 04:00:00
164.08,0.0,1.82,89.21,1.24,33.79,34.59,10.32,2025-04-12 05:00:00
163.71,0.0,1.93,86.97,1.21,33.37,34.19,10.19,2025-04-12 06:00:00
163.45,0.0,2.46,83.31,1.35,31.76,32.58,9.08,2025-04-12 07:00:00
161.8,0.04,3.27,77.61,1.52,29.44,30.23,7.59,2025-04-12 08:00:00
160.34,0.11,3.66,73.67,1.57,28.27,29.02,6.74,2025-04-12 09:00:00
161.65,0.19,3.54,78.84,1.64,30.26,31.04,6.61,2025-04-12 10:00:00
161.08,0.31,3.44,77.53,1.8,31.61,32.43,9.26,2025-04-12 11:00:00
160.69,0.42,3.22,76.71,1.96,32.57,33.43,12.64,2025-04-12 12:00:00
161.01,0.35,3.11,79.05,2.07,33.72,34.62,15.27,2025-04-12 13:00:00
160.01,0.26,2.96,79.57,1.99,34.08,35.0,15.32,2025-04-12 14:00:00
157.9,0.19,2.74,79.21,1.75,33.62,34.54,13.13,2025-04-12 15:00:00
155.78,0.15,2.52,79.72,1.47,32.88,33.81,9.99,2025-04-12 16:00:00
154.02,0.14,2.33,81.96,1.31,32.73,33.73,7.85,2025-04-12 17:00:00
151.34,0.09,2.28,86.16,1.27,32.24,33.43,6.39,2025-04-12 18:00:00
147.31,0.02,2.24,90.46,1.23,28.62,30.0,5.45,2025-04-12 19:00:00
141.95,0.0,1.97,91.78,1.05,21.66,23.06,4.94,2025-04-12 20:00:00
136.77,0.0,1.62,91.53,0.84,14.21,15.34,4.65,2025-04-12 21:00:00
133.45,0.0,1.25,92.93,0.64,7.72,8.44,4.2,2025-04-12 22:00:00
133.3,0.0,1.01,94.03,0.49,3.74,4.14,3.71,2025-04-12 23:00:00
135.35,0.0,0.84,92.75,0.36,1.78,2.05,3.44,2025-04-13 00:00:00
136.35,0.0,0.7,89.16,0.29,0.95,1.35,3.51,2025-04-13 01:00:00
136.59,0.0,0.69,86.42,0.28,0.82,1.38,3.97,2025-04-13 02:00:00
136.93,0.0,0.7,84.21,0.28,0.77,1.44,4.56,2025-04-13 03:00:00
135.45,0.0,0.77,78.55,0.28,0.75,1.49,5.71,2025-04-13 04:00:00
135.04,0.0,0.91,71.74,0.31,0.77,1.55,7.16,2025-04-13 05:00:00
135.2,0.0,1.12,66.53,0.39,0.81,1.62,8.94,2025-04-13 06:00:00
135.79,0.03,1.66,61.92,0.65,0.86,1.69,9.59,2025-04-13 07:00:00
136.63,0.15,2.23,58.27,0.79,0.83,1.66,7.75,2025-04-13 08:00:00
136.99,0.26,2.3,58.87,0.79,0.73,1.51,6.84,2025-04-13 09:00:00
139.71,0.05,0.65,91.61,0.3,0.5,0.55,2.13,2025-04-13 10:00:00
139.2,0.03,0.37,94.4,0.19,0.5,0.5,1.51,2025-04-13 11:00:00
138.7,0.03,0.29,94.33,0.16,0.5,0.5,1.41,2025-04-13 12:00:00
139.19,0.04,0.27,94.62,0.15,0.5,0.5,1.27,2025-04-13 13:00:00
139.4,0.04,0.25,94.1,0.14,0.5,0.5,1.12,2025-04-13 14:00:00
139.89,0.04,0.23,93.34,0.14,0.5,0.5,1.01,2025-04-13 15:00:00
139.79,0.04,0.24,92.96,0.14,0.5,0.5,1.03,2025-04-13 16:00:00
139.31,0.04,0.3,93.2,0.16,0.5,0.5,1.19,2025-04-13 17:00:00
138.63,0.03,0.37,93.83,0.19,0.5,0.56,1.36,2025-04-13 18:00:00
138.51,0.01,0.47,94.6,0.24,0.5,0.7,1.67,2025-04-13 19:00:00
138.39,0.0,0.51,94.56,0.28,0.5,0.85,1.91,2025-04-13 20:00:00
138.17,0.0,0.48,93.97,0.29,0.5,0.96,1.93,2025-04-13 21:00:00
137.72,0.0,0.44,93.32,0.28,0.5,0.95,1.61,2025-04-13 22:00:00
137.2,0.0,0.41,93.26,0.25,0.5,0.86,1.22,2025-04-13 23:00:00
136.69,0.0,0.38,93.91,0.2,0.5,0.79,0.96,2025-04-14 00:00:00
135.76,0.0,0.39,92.64,0.2,0.5,0.81,1.16,2025-04-14 01:00:00
135.81,0.0,0.41,90.56,0.21,0.5,0.82,1.47,2025-04-14 02:00:00
136.23,0.0,0.41,89.2,0.21,0.5,0.75,1.68,2025-04-14 03:00:00
137.45,0.0,0.41,88.75,0.21,0.5,0.63,1.8,2025-04-14 04:00:00
137.79,0.0,0.42,88.42,0.21,0.5,0.54,1.84,2025-04-14 05:00:00
138.14,0.0,0.45,88.25,0.23,0.5,0.52,1.86,2025-04-14 06:00:00
138.88,0.0,0.58,89.3,0.29,0.5,0.52,1.65,2025-04-14 07:00:00
