co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
132.23,0.16,2.34,104.13,1.54,4.01,6.61,0.08,2025-04-11 13:00:00
132.68,0.17,2.46,105.41,1.71,4.66,7.79,0.06,2025-04-11 14:00:00
132.55,0.17,2.44,105.8,1.71,5.28,8.82,0.03,2025-04-11 15:00:00
132.0,0.21,2.19,104.95,1.6,5.47,9.03,0.0,2025-04-11 16:00:00
130.64,0.17,2.06,102.07,1.44,5.18,8.42,0.0,2025-04-11 17:00:00
129.52,0.12,1.86,98.66,1.26,4.62,7.46,0.0,2025-04-11 18:00:00
128.9,0.02,1.39,95.56,0.92,3.76,6.08,0.0,2025-04-11 19:00:00
128.77,0.0,1.32,93.03,0.88,3.11,5.14,0.0,2025-04-11 20:00:00
129.04,0.0,1.32,91.56,0.9,2.61,4.46,0.0,2025-04-11 21:00:00
129.45,0.0,1.39,90.6,0.92,2.28,3.88,0.0,2025-04-11 22:00:00
130.26,0.0,1.57,90.23,0.96,2.18,3.59,0.0,2025-04-11 23:00:00
130.98,0.0,1.76,89.82,1.0,2.2,3.52,0.0,2025-04-12 00:00:00
131.13,0.0,1.93,89.08,1.02,2.24,3.42,0.0,2025-04-12 01:00:00
130.75,0.0,2.13,88.15,1.04,2.23,3.22,0.0,2025-04-12 02:00:00
130.16,0.0,2.4,86.58,1.11,2.2,3.05,0.0,2025-04-12 03:00:00
129.49,0.0,2.72,84.59,1.22,2.18,2.93,0.0,2025-04-12 04:00:00
129.03,0.0,3.05,82.45,1.32,2.18,2.96,0.01,2025-04-12 05:00:00
129.07,0.0,3.33,80.39,1.37,2.2,3.08,0.02,2025-04-12 06:00:00
129.09,0.0,3.55,78.6,1.46,2.29,3.36,0.02,2025-04-12 07:00:00
129.27,0.03,3.68,78.29,1.5,2.3,3.44,0.01,2025-04-12 08:00:00
129.54,0.08,3.58,79.41,1.45,2.16,3.26,0.0,2025-04-12 09:00:00
129.65,0.15,2.99,81.85,1.29,1.9,2.93,0.0,2025-04-12 10:00:00
129.41,0.17,2.37,84.54,1.15,1.7,2.78,0.0,2025-04-12 11:00:00
129.08,0.17,1.81,87.0,1.06,1.59,2.76,0.0,2025-04-12 12:00:00
128.39,0.2,1.1,90.19,0.96,1.51,2.8,0.0,2025-04-12 13:00:00
127.47,0.13,0.78,92.33,0.88,1.47,2.91,0.0,2025-04-12 14:00:00
126.55,0.11,0.65,93.0,0.84,1.46,3.04,0.0,2025-04-12 15:00:00
125.78,0.09,0.63,92.58,0.79,1.43,3.1,0.0,2025-04-12 16:00:00
124.98,0.06,0.7,91.32,0.76,1.4,3.12,0.0,2025-04-12 17:00:00
124.57,0.03,0.82,90.04,0.76,1.41,3.14,0.0,2025-04-12 18:00:00
124.69,0.01,0.99,89.25,0.78,1.46,3.13,0.0,2025-04-12 19:00:00
125.3,0.0,1.2,88.34,0.85,1.54,3.07,0.0,2025-04-12 20:00:00
126.08,0.0,1.49,87.46,0.95,1.65,3.05,0.0,2025-04-12 21:00:00
126.86,0.0,1.82,86.52,1.07,1.75,3.02,0.0,2025-04-12 22:00:00
127.74,0.0,2.05,86.27,1.17,1.84,2.99,0.0,2025-04-12 23:00:00
128.86,0.0,2.22,86.39,1.26,1.99,3.1,0.0,2025-04-13 00:00:00
129.81,0.0,2.63,85.77,1.52,2.37,3.62,0.0,2025-04-13 01:00:00
131.4,0.0,3.46,84.25,2.01,3.19,4.94,0.01,2025-04-13 02:00:00
133.09,0.0,4.25,82.8,2.46,4.32,6.83,0.02,2025-04-13 03:00:00
135.27,0.0,4.81,81.8,2.81,5.52,8.94,0.04,2025-04-13 04:00:00
136.82,0.0,5.04,81.16,3.02,6.42,10.62,0.05,2025-04-13 05:00:00
137.5,0.0,4.92,81.07,3.09,6.78,11.39,0.06,2025-04-13 06:00:00
137.04,0.03,4.76,81.67,3.02,6.49,10.75,0.08,2025-04-13 07:00:00
136.42,0.33,4.73,82.42,3.0,6.02,9.81,0.12,2025-04-13 08:00:00
135.34,0.68,4.33,84.11,2.98,5.68,9.05,0.15,2025-04-13 09:00:00
133.67,0.78,3.7,87.26,2.82,5.41,8.36,0.17,2025-04-13 10:00:00
131.94,0.66,2.89,92.36,2.61,5.32,8.22,0.13,2025-04-13 11:00:00
130.49,0.44,2.0,99.03,2.32,5.3,8.39,0.06,2025-04-13 12:00:00
129.83,0.23,1.21,104.98,1.88,5.0,8.22,0.02,2025-04-13 13:00:00
130.22,0.14,0.89,108.06,1.58,4.77,8.19,0.03,2025-04-13 14:00:00
131.06,0.11,0.85,109.38,1.47,5.04,9.05,0.08,2025-04-13 15:00:00
131.79,0.11,0.86,110.67,1.44,5.68,10.8,0.15,2025-04-13 16:00:00
132.0,0.1,0.94,112.23,1.47,6.41,13.1,0.24,2025-04-13 17:00:00
131.32,0.07,1.06,113.66,1.51,6.87,15.1,0.32,2025-04-13 18:00:00
129.7,0.02,1.21,114.5,1.49,6.85,16.0,0.4,2025-04-13 19:00:00
127.76,0.0,1.2,114.93,1.42,6.39,15.54,0.45,2025-04-13 20:00:00
126.05,0.0,1.14,115.39,1.34,5.8,14.42,0.46,2025-04-13 21:00:00
124.76,0.0,1.08,115.14,1.26,5.22,13.02,0.44,2025-04-13 22:00:00
124.84,0.0,1.02,114.91,1.19,4.73,11.69,0.4,2025-04-13 23:00:00
125.45,0.0,0.97,114.41,1.12,4.31,10.42,0.35,2025-04-14 00:00:00
126.31,0.0,0.88,112.93,0.99,3.85,8.9,0.29,2025-04-14 01:00:00
127.01,0.0,0.75,110.91,0.82,3.31,7.25,0.22,2025-04-14 02:00:00
127.53,0.0,0.64,108.76,0.68,2.77,5.88,0.16,2025-04-14 03:00:00
128.28,0.0,0.56,107.13,0.58,2.23,4.68,0.11,2025-04-14 04:00:00
128.16,0.0,0.52,105.64,0.52,1.73,3.75,0.06,2025-04-14 05:00:00
127.68,0.0,0.49,104.71,0.5,1.4,3.22,0.03,2025-04-14 06:00:00
127.24,0.0,0.5,103.73,0.49,1.23,3.08,0.01,2025-04-14 07:00:00
126.69,0.01,0.53,101.48,0.49,1.19,3.15,0.0,2025-04-14 08:00:00
125.96,0.02,0.54,98.6,0.49,1.2,3.39,0.0,2025-04-14 09:00:00
125.27,0.02,0.55,96.95,0.51,1.25,3.68,0.0,2025-04-14 10:00:00
124.3,0.02,0.52,97.43,0.53,1.35,4.01,0.0,2025-04-14 11:00:00
123.76,0.02,0.49,99.08,0.53,1.51,4.31,0.0,2025-04-14 12:00:00
124.49,0.03,0.45,99.86,0.51,1.64,4.01,0.0,2025-04-14 13:00:00
126.7,0.03,0.37,99.68,0.46,1.69,3.73,0.0,2025-04-14 14:00:00
129.86,0.03,0.33,101.18,0.44,1.71,3.88,0.0,2025-04-14 15:00:00
132.56,0.03,0.3,104.4,0.43,1.68,4.38,0.0,2025-04-14 16:00:00
133.49,0.03,0.3,106.92,0.42,1.53,4.57,0.0,2025-04-14 17:00:00
133.62,0.02,0.33,107.47,0.42,1.4,4.48,0.0,2025-04-14 18:00:00
133.31,0.01,0.37,106.91,0.42,1.31,4.26,0.0,2025-04-14 19:00:00
133.36,0.0,0.38,106.97,0.42,1.24,4.09,0.0,2025-04-14 20:00:00
133.17,0.0,0.38,107.96,0.42,1.18,4.01,0.0,2025-04-14 21:00:00
132.37,0.0,0.38,108.97,0.42,1.12,3.94,0.0,2025-04-14 22:00:00
131.93,0.0,0.37,110.01,0.42,1.06,3.81,0.0,2025-04-14 23:00:00
131.9,0.0,0.36,110.4,0.4,0.98,3.53,0.0,2025-04-15 00:00:00
132.32,0.0,0.35,110.08,0.39,0.88,3.09,0.0,2025-04-15 01:00:00
133.22,0.0,0.34,109.72,0.37,0.82,2.87,0.0,2025-04-15 02:00:00
134.18,0.0,0.34,108.51,0.36,0.81,2.94,0.0,2025-04-15 03:00:00
134.3,0.0,0.33,106.1,0.36,0.85,3.19,0.0,2025-04-15 04:00:00
134.66,0.0,0.33,104.69,0.37,0.91,3.51,0.0,2025-04-15 05:00:00
135.08,0.0,0.33,104.52,0.38,0.96,3.79,0.0,2025-04-15 06:00:00
134.74,0.0,0.34,104.53,0.38,0.98,3.92,0.0,2025-04-15 07:00:00
134.61,0.02,0.32,103.96,0.38,0.98,3.9,0.0,2025-04-15 08:00:00
134.73,0.03,0.3,102.66,0.37,0.97,3.87,0.0,2025-04-15 09:00:00
135.15,0.04,0.28,100.46,0.37,0.97,3.85,0.0,2025-04-15 10:00:00
135.88,0.04,0.27,97.77,0.38,0.97,3.81,0.0,2025-04-15 11:00:00
136.4,0.04,0.27,95.83,0.39,0.97,3.75,0.0,2025-04-15 12:00:00
136.49,0.04,0.25,95.3,0.38,0.97,3.8,0.0,2025-04-15 13:00:00
136.62,0.05,0.24,96.11,0.38,0.97,3.89,0.0,2025-04-15 14:00:00
136.6,0.05,0.23,97.27,0.38,0.97,3.93,0.0,2025-04-15 15:00:00
136.52,0.04,0.24,98.27,0.38,0.96,4.0,0.0,2025-04-15 16:00:00
136.09,0.04,0.25,98.67,0.38,0.95,4.0,0.0,2025-04-15 17:00:00
135.34,0.02,0.28,99.04,0.38,0.93,3.97,0.0,2025-04-15 18:00:00
134.75,0.01,0.32,99.61,0.38,0.89,3.8,0.0,2025-04-15 19:00:00
134.2,0.0,0.33,100.35,0.38,0.83,3.48,0.0,2025-04-15 20:00:00
133.83,0.0,0.34,100.82,0.37,0.74,3.06,0.0,2025-04-15 21:00:00
133.37,0.0,0.35,101.0,0.35,0.64,2.61,0.0,2025-04-15 22:00:00
133.24,0.0,0.36,101.11,0.34,0.55,2.17,0.0,2025-04-15 23:00:00
133.32,0.0,0.37,101.28,0.34,0.51,1.81,0.0,2025-04-16 00:00:00
133.34,0.0,0.37,100.93,0.33,0.5,1.58,0.0,2025-04-16 01:00:00
133.5,0.0,0.37,100.3,0.33,0.51,1.5,0.0,2025-04-16 02:00:00
133.87,0.0,0.38,99.52,0.33,0.51,1.47,0.0,2025-04-16 03:00:00
134.15,0.0,0.38,98.64,0.33,0.51,1.41,0.0,2025-04-16 04:00:00
134.26,0.0,0.39,97.83,0.33,0.51,1.33,0.0,2025-04-16 05:00:00
133.84,0.0,0.41,97.51,0.34,0.51,1.3,0.0,2025-04-16 06:00:00
133.0,0.0,0.42,97.19,0.35,0.51,1.32,0.0,2025-04-16 07:00:00
132.22,0.02,0.42,97.19,0.35,0.52,1.4,0.0,2025-04-16 08:00:00
131.41,0.03,0.39,97.2,0.35,0.55,1.51,0.0,2025-04-16 09:00:00
131.17,0.05,0.42,97.82,0.39,0.65,1.82,0.0,2025-04-16 10:00:00
130.82,0.05,0.46,98.68,0.48,0.94,2.49,0.0,2025-04-16 11:00:00
130.49,0.05,0.48,100.25,0.56,1.36,3.49,0.0,2025-04-16 12:00:00
130.28,0.04,0.49,102.31,0.64,1.92,4.89,0.0,2025-04-16 13:00:00
129.72,0.04,0.49,103.8,0.69,2.57,6.43,0.0,2025-04-16 14:00:00
