co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
121.12,0.04,0.42,91.85,0.1,1.37,1.69,1.56,2025-04-11 13:00:00
118.29,0.03,0.41,91.89,0.13,1.19,1.6,1.41,2025-04-11 14:00:00
116.57,0.03,0.46,90.43,0.17,1.14,1.68,1.39,2025-04-11 15:00:00
118.1,0.02,0.55,89.05,0.2,1.13,1.71,1.49,2025-04-11 16:00:00
119.51,0.02,0.65,85.64,0.2,1.11,1.62,1.66,2025-04-11 17:00:00
120.82,0.01,0.73,82.1,0.19,1.1,1.54,1.61,2025-04-11 18:00:00
120.31,0.0,0.76,76.85,0.15,1.07,1.45,1.53,2025-04-11 19:00:00
121.24,0.0,0.74,72.12,0.12,1.04,1.37,1.5,2025-04-11 20:00:00
122.0,0.0,0.7,68.34,0.09,1.0,1.28,1.48,2025-04-11 21:00:00
120.82,0.0,0.63,64.23,0.06,0.94,1.17,1.56,2025-04-11 22:00:00
120.46,0.0,0.56,60.53,0.04,0.91,1.13,1.65,2025-04-11 23:00:00
120.09,0.0,0.49,57.57,0.04,0.94,1.16,1.72,2025-04-12 00:00:00
119.02,0.0,0.47,52.02,0.03,1.01,1.24,1.95,2025-04-12 01:00:00
117.31,0.0,0.48,44.91,0.02,1.07,1.32,2.45,2025-04-12 02:00:00
115.84,0.0,0.51,40.08,0.02,1.1,1.41,3.2,2025-04-12 03:00:00
114.87,0.0,0.58,36.31,0.02,1.13,1.51,4.16,2025-04-12 04:00:00
114.35,0.0,0.78,32.25,0.02,1.18,1.64,4.39,2025-04-12 05:00:00
114.6,0.0,1.19,29.22,0.02,1.26,1.78,4.36,2025-04-12 06:00:00
114.9,0.02,1.55,28.38,0.03,1.36,1.98,4.18,2025-04-12 07:00:00
114.52,0.08,1.6,27.01,0.03,1.44,2.25,3.91,2025-04-12 08:00:00
114.25,0.21,1.38,28.75,0.03,1.57,2.69,3.61,2025-04-12 09:00:00
118.16,0.04,0.91,58.64,0.13,1.74,3.47,1.93,2025-04-12 10:00:00
118.01,0.03,0.79,64.24,0.15,1.75,3.4,1.55,2025-04-12 11:00:00
117.22,0.03,0.66,66.63,0.14,1.63,2.92,1.38,2025-04-12 12:00:00
116.88,0.03,0.38,71.38,0.09,1.22,1.94,0.98,2025-04-12 13:00:00
115.91,0.02,0.27,71.19,0.06,0.95,1.33,0.92,2025-04-12 14:00:00
115.7,0.02,0.25,69.96,0.05,0.87,1.11,0.94,2025-04-12 15:00:00
116.14,0.03,0.28,67.67,0.05,0.85,1.02,1.08,2025-04-12 16:00:00
