co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
174.94,0.07,0.9,113.63,1.1,14.62,17.34,1.24,2025-04-11 13:00:00
173.67,0.06,0.88,114.08,1.15,15.31,18.23,1.17,2025-04-11 14:00:00
172.28,0.05,0.94,114.58,1.19,15.83,18.89,1.09,2025-04-11 15:00:00
172.0,0.04,1.17,114.49,1.19,16.1,19.39,1.02,2025-04-11 16:00:00
172.16,0.03,1.47,113.68,1.18,16.16,19.76,0.94,2025-04-11 17:00:00
171.3,0.01,1.63,113.16,1.15,15.57,19.36,0.86,2025-04-11 18:00:00
169.88,0.0,1.64,112.44,1.09,14.11,17.89,0.83,2025-04-11 19:00:00
168.56,0.0,1.62,111.55,1.01,12.37,16.0,0.81,2025-04-11 20:00:00
167.6,0.0,1.62,110.36,0.94,11.11,14.58,0.79,2025-04-11 21:00:00
166.06,0.0,1.6,109.06,0.89,10.07,13.41,0.8,2025-04-11 22:00:00
164.14,0.0,1.51,108.03,0.86,9.24,12.54,0.81,2025-04-11 23:00:00
162.27,0.0,1.39,107.51,0.85,8.56,11.8,0.84,2025-04-12 00:00:00
161.04,0.0,1.32,107.14,0.86,8.23,11.36,0.87,2025-04-12 01:00:00
159.85,0.0,1.28,106.85,0.87,8.23,11.23,0.89,2025-04-12 02:00:00
158.89,0.0,1.24,106.61,0.87,8.17,10.98,0.92,2025-04-12 03:00:00
157.97,0.0,1.22,105.95,0.86,8.05,10.66,0.93,2025-04-12 04:00:00
158.17,0.0,1.32,103.48,0.89,8.05,10.6,0.95,2025-04-12 05:00:00
160.0,0.0,1.66,100.77,0.97,8.21,10.76,1.0,2025-04-12 06:00:00
162.51,0.02,2.2,98.7,1.1,8.31,10.86,1.11,2025-04-12 07:00:00
163.95,0.07,2.55,97.9,1.23,8.09,10.62,1.25,2025-04-12 08:00:00
164.55,0.13,2.56,98.25,1.33,8.1,10.55,1.38,2025-04-12 09:00:00
160.82,0.17,2.06,103.12,1.33,7.65,9.9,1.5,2025-04-12 10:00:00
157.75,0.16,1.65,106.33,1.3,7.58,9.74,1.56,2025-04-12 11:00:00
155.4,0.14,1.38,108.78,1.25,7.56,9.69,1.62,2025-04-12 12:00:00
153.06,0.11,1.17,111.1,1.11,7.16,9.14,1.78,2025-04-12 13:00:00
151.64,0.1,1.05,112.6,1.03,6.74,8.7,1.94,2025-04-12 14:00:00
150.11,0.1,1.0,113.95,0.96,6.17,8.14,2.0,2025-04-12 15:00:00
151.86,0.12,1.45,111.73,0.91,5.98,7.92,2.07,2025-04-12 16:00:00
156.44,0.09,2.49,106.91,0.92,6.02,7.98,1.99,2025-04-12 17:00:00
161.93,0.02,3.42,103.36,0.95,6.15,8.17,1.64,2025-04-12 18:00:00
