co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
155.75,0.3,1.29,108.5,1.11,15.42,17.05,5.24,2025-04-11 13:00:00
145.63,0.17,0.86,113.59,0.97,11.6,13.05,4.89,2025-04-11 14:00:00
142.01,0.14,0.85,114.2,0.93,10.31,11.73,5.11,2025-04-11 15:00:00
143.44,0.17,1.18,113.74,0.94,10.43,11.88,5.84,2025-04-11 16:00:00
146.51,0.18,1.8,109.96,0.96,11.54,13.06,6.95,2025-04-11 17:00:00
150.32,0.09,2.55,105.08,0.96,12.37,13.93,7.98,2025-04-11 18:00:00
153.41,0.0,3.1,99.51,0.94,13.11,14.66,8.65,2025-04-11 19:00:00
157.6,0.0,3.17,95.48,0.9,13.84,15.37,8.99,2025-04-11 20:00:00
159.99,0.0,3.0,92.57,0.81,14.3,15.78,8.5,2025-04-11 21:00:00
156.66,0.0,2.53,88.63,0.67,14.14,15.54,7.31,2025-04-11 22:00:00
154.71,0.0,2.04,85.08,0.54,13.94,15.3,6.39,2025-04-11 23:00:00
152.75,0.0,1.69,80.81,0.42,13.7,15.03,5.67,2025-04-12 00:00:00
149.53,0.0,1.47,75.1,0.32,13.39,14.67,5.3,2025-04-12 01:00:00
146.89,0.0,1.31,69.96,0.26,13.21,14.44,5.47,2025-04-12 02:00:00
144.62,0.0,1.21,66.3,0.23,13.31,14.49,5.97,2025-04-12 03:00:00
144.1,0.0,1.21,65.3,0.23,13.92,15.08,6.33,2025-04-12 04:00:00
146.08,0.0,1.58,64.1,0.24,14.87,16.04,5.96,2025-04-12 05:00:00
148.24,0.01,2.33,60.53,0.24,15.6,16.79,5.37,2025-04-12 06:00:00
147.47,0.09,2.9,55.58,0.23,15.13,16.3,5.43,2025-04-12 07:00:00
143.81,0.32,2.75,53.0,0.21,13.29,14.37,6.63,2025-04-12 08:00:00
139.09,0.45,2.21,55.46,0.19,10.71,11.63,7.55,2025-04-12 09:00:00
136.99,0.19,1.62,68.3,0.15,7.65,8.3,6.68,2025-04-12 10:00:00
135.29,0.15,1.3,72.44,0.12,5.88,6.33,5.56,2025-04-12 11:00:00
134.41,0.13,1.09,74.72,0.09,4.55,4.87,4.55,2025-04-12 12:00:00
133.98,0.07,1.0,77.08,0.07,3.69,3.88,3.25,2025-04-12 13:00:00
133.11,0.06,0.92,78.51,0.06,3.14,3.24,2.25,2025-04-12 14:00:00
131.87,0.05,0.95,78.55,0.05,2.72,2.8,1.74,2025-04-12 15:00:00
131.01,0.04,1.04,78.18,0.05,2.41,2.48,1.42,2025-04-12 16:00:00
130.98,0.02,1.15,76.65,0.05,2.23,2.3,1.34,2025-04-12 17:00:00
132.02,0.0,1.2,74.87,0.06,2.19,2.28,1.42,2025-04-12 18:00:00
133.75,0.0,1.16,73.23,0.07,2.24,2.35,1.56,2025-04-12 19:00:00
135.54,0.0,1.07,72.88,0.08,2.17,2.32,1.77,2025-04-12 20:00:00
136.33,0.0,0.98,75.24,0.12,2.71,3.25,1.96,2025-04-12 21:00:00
136.86,0.0,0.83,81.7,0.21,5.12,7.04,2.12,2025-04-12 22:00:00
138.96,0.0,0.67,87.62,0.27,7.7,11.03,2.16,2025-04-12 23:00:00
142.16,0.0,0.55,91.23,0.31,9.69,13.84,2.16,2025-04-13 00:00:00
144.8,0.0,0.52,92.38,0.35,9.7,13.06,1.99,2025-04-13 01:00:00
146.42,0.0,0.48,92.43,0.35,10.07,12.96,1.87,2025-04-13 02:00:00
147.26,0.0,0.48,90.89,0.34,10.18,12.59,1.83,2025-04-13 03:00:00
146.95,0.0,0.54,88.15,0.32,9.77,11.69,1.86,2025-04-13 04:00:00
148.17,0.0,0.71,85.75,0.29,9.23,10.68,1.88,2025-04-13 05:00:00
149.75,0.0,0.96,84.47,0.27,8.57,9.58,1.88,2025-04-13 06:00:00
150.4,0.0,1.09,85.81,0.24,7.61,8.28,1.82,2025-04-13 07:00:00
150.48,0.02,1.07,89.39,0.2,6.08,6.54,1.8,2025-04-13 08:00:00
150.01,0.04,1.0,91.86,0.18,4.66,5.01,1.88,2025-04-13 09:00:00
148.47,0.06,0.86,94.93,0.16,3.38,3.7,2.08,2025-04-13 10:00:00
145.53,0.06,0.74,97.18,0.16,2.96,3.32,2.44,2025-04-13 11:00:00
143.14,0.07,0.65,98.37,0.17,2.91,3.35,2.79,2025-04-13 12:00:00
141.57,0.07,0.54,100.62,0.18,2.93,3.47,3.08,2025-04-13 13:00:00
137.7,0.07,0.48,101.95,0.18,2.79,3.44,3.22,2025-04-13 14:00:00
134.26,0.07,0.49,102.79,0.2,2.74,3.55,3.38,2025-04-13 15:00:00
133.1,0.1,0.69,100.87,0.23,2.97,4.09,4.24,2025-04-13 16:00:00
133.13,0.11,1.08,95.72,0.29,3.36,4.9,5.72,2025-04-13 17:00:00
133.52,0.06,1.48,91.48,0.34,3.71,5.68,6.95,2025-04-13 18:00:00
134.27,0.0,1.88,85.47,0.36,3.95,6.26,7.77,2025-04-13 19:00:00
136.76,0.0,2.25,78.12,0.34,4.17,6.74,7.63,2025-04-13 20:00:00
138.32,0.0,2.53,71.84,0.3,4.3,7.05,6.08,2025-04-13 21:00:00
136.46,0.0,2.61,64.02,0.22,4.26,7.03,4.68,2025-04-13 22:00:00
136.12,0.0,2.61,55.9,0.17,4.23,6.98,4.39,2025-04-13 23:00:00
135.72,0.0,2.47,48.71,0.14,4.17,6.85,4.71,2025-04-14 00:00:00
133.53,0.0,2.31,40.99,0.12,4.09,6.67,5.4,2025-04-14 01:00:00
132.9,0.0,2.27,34.0,0.11,4.17,6.74,6.61,2025-04-14 02:00:00
132.81,0.0,2.37,28.5,0.12,4.37,6.87,8.79,2025-04-14 03:00:00
132.64,0.01,2.7,23.9,0.15,4.58,6.95,10.58,2025-04-14 04:00:00
137.99,0.04,3.94,19.32,0.23,4.97,7.33,8.97,2025-04-14 05:00:00
145.88,0.13,6.08,15.89,0.28,5.49,7.92,7.01,2025-04-14 06:00:00
150.51,0.58,6.65,18.2,0.29,5.82,8.37,5.36,2025-04-14 07:00:00
151.38,1.83,4.92,20.34,0.29,5.83,8.51,4.72,2025-04-14 08:00:00
