co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
143.94,0.01,0.04,94.46,0.07,0.5,1.61,0.0,2025-04-11 13:00:00
143.66,0.01,0.04,93.89,0.07,0.5,1.49,0.0,2025-04-11 14:00:00
143.28,0.0,0.04,94.22,0.07,0.5,1.35,0.0,2025-04-11 15:00:00
142.73,0.0,0.04,95.36,0.06,0.5,1.14,0.0,2025-04-11 16:00:00
142.74,0.0,0.04,97.15,0.06,0.5,0.95,0.0,2025-04-11 17:00:00
143.05,0.0,0.05,98.87,0.06,0.5,0.8,0.0,2025-04-11 18:00:00
142.74,0.0,0.05,99.74,0.05,0.5,0.69,0.0,2025-04-11 19:00:00
142.31,0.0,0.05,99.87,0.05,0.5,0.6,0.0,2025-04-11 20:00:00
141.69,0.0,0.05,99.59,0.05,0.5,0.53,0.0,2025-04-11 21:00:00
141.56,0.0,0.05,99.25,0.05,0.5,0.5,0.0,2025-04-11 22:00:00
141.36,0.0,0.05,98.63,0.04,0.5,0.5,0.0,2025-04-11 23:00:00
141.25,0.0,0.05,97.68,0.04,0.5,0.5,0.0,2025-04-12 00:00:00
141.09,0.0,0.05,96.84,0.04,0.5,0.5,0.0,2025-04-12 01:00:00
140.69,0.0,0.05,96.12,0.04,0.5,0.5,0.0,2025-04-12 02:00:00
140.66,0.0,0.05,96.03,0.04,0.5,0.5,0.0,2025-04-12 03:00:00
141.35,0.0,0.05,96.65,0.04,0.5,0.5,0.0,2025-04-12 04:00:00
141.25,0.0,0.05,97.08,0.04,0.5,0.5,0.0,2025-04-12 05:00:00
140.59,0.0,0.05,96.95,0.04,0.5,0.5,0.0,2025-04-12 06:00:00
140.43,0.0,0.05,96.36,0.04,0.5,0.51,0.0,2025-04-12 07:00:00
139.83,0.0,0.06,94.51,0.05,0.5,0.53,0.0,2025-04-12 08:00:00
139.8,0.0,0.06,93.22,0.05,0.5,0.6,0.0,2025-04-12 09:00:00
140.22,0.0,0.07,93.51,0.05,0.5,0.64,0.0,2025-04-12 10:00:00
139.97,0.0,0.07,94.41,0.05,0.5,0.62,0.0,2025-04-12 11:00:00
139.82,0.0,0.07,95.4,0.05,0.5,0.6,0.0,2025-04-12 12:00:00
140.39,0.0,0.07,96.44,0.06,0.5,0.62,0.0,2025-04-12 13:00:00
142.61,0.0,0.07,97.95,0.06,0.5,0.65,0.0,2025-04-12 14:00:00
144.46,0.0,0.07,99.06,0.06,0.5,0.62,0.0,2025-04-12 15:00:00
145.37,0.0,0.07,99.36,0.05,0.5,0.5,0.0,2025-04-12 16:00:00
145.72,0.0,0.06,99.42,0.04,0.5,0.5,0.0,2025-04-12 17:00:00
145.13,0.0,0.06,99.25,0.04,0.5,0.5,0.0,2025-04-12 18:00:00
144.56,0.0,0.06,98.44,0.04,0.5,0.5,0.0,2025-04-12 19:00:00
143.44,0.0,0.07,97.8,0.04,0.5,0.5,0.0,2025-04-12 20:00:00
142.88,0.0,0.08,97.16,0.04,0.5,0.5,0.0,2025-04-12 21:00:00
142.67,0.0,0.09,96.75,0.04,0.5,0.5,0.0,2025-04-12 22:00:00
142.64,0.0,0.09,96.33,0.04,0.5,0.5,0.0,2025-04-12 23:00:00
142.61,0.0,0.1,96.15,0.04,0.5,0.5,0.0,2025-04-13 00:00:00
143.8,0.0,0.11,96.1,0.06,0.5,0.5,0.0,2025-04-13 01:00:00
144.95,0.0,0.12,96.06,0.08,0.5,0.5,0.0,2025-04-13 02:00:00
146.95,0.0,0.14,96.51,0.09,0.5,0.5,0.0,2025-04-13 03:00:00
147.38,0.0,0.14,96.33,0.09,0.5,0.5,0.0,2025-04-13 04:00:00
145.59,0.0,0.13,95.68,0.07,0.5,0.5,0.01,2025-04-13 05:00:00
142.6,0.0,0.1,94.79,0.06,0.5,0.5,0.01,2025-04-13 06:00:00
142.24,0.0,0.08,94.66,0.05,0.5,0.5,0.01,2025-04-13 07:00:00
141.88,0.0,0.09,92.6,0.07,0.5,0.53,0.02,2025-04-13 08:00:00
143.94,0.0,0.1,92.37,0.11,0.5,0.65,0.03,2025-04-13 09:00:00
149.92,0.01,0.11,94.94,0.2,0.5,0.84,0.05,2025-04-13 10:00:00
156.13,0.01,0.14,98.09,0.39,0.5,0.97,0.08,2025-04-13 11:00:00
158.24,0.02,0.15,98.93,0.59,0.5,1.01,0.11,2025-04-13 12:00:00
155.3,0.02,0.15,96.24,0.71,0.5,1.02,0.11,2025-04-13 13:00:00
151.21,0.02,0.13,92.82,0.72,0.5,1.07,0.09,2025-04-13 14:00:00
148.62,0.02,0.12,90.59,0.69,0.5,1.15,0.08,2025-04-13 15:00:00
146.91,0.02,0.11,90.02,0.61,0.5,1.16,0.07,2025-04-13 16:00:00
145.17,0.01,0.11,90.29,0.55,0.5,1.13,0.06,2025-04-13 17:00:00
144.26,0.01,0.11,90.73,0.51,0.5,1.1,0.05,2025-04-13 18:00:00
144.1,0.0,0.12,91.46,0.47,0.5,1.11,0.05,2025-04-13 19:00:00
144.41,0.0,0.13,92.01,0.44,0.5,1.1,0.05,2025-04-13 20:00:00
145.55,0.0,0.13,92.25,0.42,0.5,1.04,0.05,2025-04-13 21:00:00
146.79,0.0,0.12,92.25,0.42,0.5,0.98,0.05,2025-04-13 22:00:00
147.68,0.0,0.11,92.58,0.42,0.5,0.95,0.05,2025-04-13 23:00:00
147.82,0.0,0.1,93.3,0.39,0.5,0.97,0.05,2025-04-14 00:00:00
148.42,0.0,0.09,93.77,0.35,0.5,0.99,0.04,2025-04-14 01:00:00
148.35,0.0,0.08,94.04,0.31,0.5,0.98,0.04,2025-04-14 02:00:00
148.1,0.0,0.08,93.27,0.31,0.5,0.95,0.04,2025-04-14 03:00:00
147.69,0.0,0.07,92.48,0.3,0.5,0.88,0.03,2025-04-14 04:00:00
147.7,0.0,0.07,92.09,0.3,0.5,0.92,0.03,2025-04-14 05:00:00
148.64,0.0,0.07,92.09,0.31,0.5,0.94,0.03,2025-04-14 06:00:00
149.39,0.0,0.08,92.08,0.32,0.5,0.92,0.02,2025-04-14 07:00:00
150.11,0.0,0.05,91.99,0.32,0.5,0.85,0.02,2025-04-14 08:00:00
151.22,0.0,0.05,91.65,0.34,0.5,0.8,0.02,2025-04-14 09:00:00
151.55,0.0,0.07,91.14,0.37,0.5,0.73,0.02,2025-04-14 10:00:00
152.44,0.01,0.09,90.14,0.44,0.5,0.73,0.03,2025-04-14 11:00:00
152.57,0.01,0.09,88.58,0.5,0.5,0.73,0.03,2025-04-14 12:00:00
152.69,0.01,0.09,87.09,0.5,0.5,0.74,0.04,2025-04-14 13:00:00
151.84,0.01,0.09,85.59,0.49,0.5,0.74,0.04,2025-04-14 14:00:00
151.37,0.01,0.1,84.41,0.48,0.5,0.74,0.04,2025-04-14 15:00:00
151.63,0.01,0.1,83.94,0.47,0.5,0.72,0.04,2025-04-14 16:00:00
150.74,0.01,0.11,82.9,0.46,0.5,0.69,0.04,2025-04-14 17:00:00
150.04,0.0,0.12,82.34,0.44,0.5,0.67,0.04,2025-04-14 18:00:00
149.95,0.0,0.12,82.77,0.42,0.5,0.64,0.04,2025-04-14 19:00:00
150.28,0.0,0.13,83.95,0.44,0.5,0.61,0.04,2025-04-14 20:00:00
150.42,0.0,0.14,85.45,0.45,0.5,0.58,0.05,2025-04-14 21:00:00
150.43,0.0,0.13,86.66,0.46,0.5,0.62,0.05,2025-04-14 22:00:00
150.88,0.0,0.13,87.5,0.49,0.5,0.7,0.05,2025-04-14 23:00:00
150.96,0.0,0.13,87.95,0.52,0.5,0.76,0.05,2025-04-15 00:00:00
150.47,0.0,0.14,87.99,0.55,0.5,0.83,0.06,2025-04-15 01:00:00
150.53,0.0,0.14,87.78,0.58,0.5,0.86,0.07,2025-04-15 02:00:00
150.22,0.0,0.14,87.66,0.56,0.5,0.84,0.07,2025-04-15 03:00:00
149.51,0.0,0.13,87.52,0.5,0.5,0.76,0.06,2025-04-15 04:00:00
148.6,0.0,0.12,87.37,0.42,0.5,0.67,0.05,2025-04-15 05:00:00
148.25,0.0,0.12,87.15,0.39,0.5,0.63,0.05,2025-04-15 06:00:00
147.74,0.0,0.13,86.78,0.37,0.5,0.62,0.05,2025-04-15 07:00:00
147.65,0.0,0.15,86.03,0.38,0.5,0.67,0.06,2025-04-15 08:00:00
147.56,0.01,0.16,85.61,0.39,0.5,0.73,0.07,2025-04-15 09:00:00
146.96,0.02,0.15,85.08,0.38,0.5,0.78,0.08,2025-04-15 10:00:00
146.52,0.03,0.14,84.77,0.35,0.5,0.81,0.09,2025-04-15 11:00:00
145.7,0.03,0.13,85.43,0.31,0.5,0.72,0.09,2025-04-15 12:00:00
145.38,0.03,0.11,87.34,0.24,0.5,0.59,0.06,2025-04-15 13:00:00
144.71,0.02,0.08,89.21,0.13,0.5,0.5,0.03,2025-04-15 14:00:00
144.42,0.02,0.07,89.95,0.05,0.5,0.5,0.01,2025-04-15 15:00:00
144.94,0.01,0.07,90.0,0.02,0.5,0.5,0.01,2025-04-15 16:00:00
144.2,0.01,0.07,88.88,0.02,0.5,0.5,0.0,2025-04-15 17:00:00
142.62,0.01,0.08,87.12,0.03,0.5,0.5,0.01,2025-04-15 18:00:00
141.59,0.0,0.1,86.06,0.07,0.5,0.5,0.01,2025-04-15 19:00:00
142.99,0.0,0.11,86.49,0.13,0.5,0.5,0.02,2025-04-15 20:00:00
145.71,0.0,0.11,87.73,0.15,0.5,0.64,0.03,2025-04-15 21:00:00
147.96,0.0,0.1,88.7,0.15,0.5,0.92,0.03,2025-04-15 22:00:00
150.77,0.0,0.1,90.45,0.17,0.5,1.05,0.03,2025-04-15 23:00:00
153.41,0.0,0.1,92.13,0.21,0.5,1.15,0.04,2025-04-16 00:00:00
153.93,0.0,0.1,93.22,0.25,0.5,1.25,0.05,2025-04-16 01:00:00
156.52,0.0,0.11,95.53,0.3,0.5,1.34,0.06,2025-04-16 02:00:00
159.3,0.0,0.11,98.16,0.35,0.5,1.41,0.07,2025-04-16 03:00:00
159.72,0.0,0.12,100.02,0.41,0.5,1.48,0.09,2025-04-16 04:00:00
159.48,0.0,0.12,100.52,0.47,0.5,1.55,0.1,2025-04-16 05:00:00
158.28,0.0,0.12,99.79,0.52,0.5,1.56,0.1,2025-04-16 06:00:00
156.66,0.0,0.13,97.96,0.53,0.5,1.41,0.1,2025-04-16 07:00:00
155.37,0.0,0.15,96.11,0.55,0.5,1.24,0.09,2025-04-16 08:00:00
154.27,0.01,0.14,94.09,0.6,0.5,1.08,0.09,2025-04-16 09:00:00
152.71,0.02,0.14,92.76,0.63,0.5,0.95,0.08,2025-04-16 10:00:00
151.84,0.02,0.13,92.04,0.65,0.5,0.88,0.07,2025-04-16 11:00:00
151.34,0.02,0.13,91.56,0.67,0.5,0.86,0.07,2025-04-16 12:00:00
151.31,0.02,0.12,91.34,0.63,0.5,0.82,0.06,2025-04-16 13:00:00
150.79,0.02,0.12,90.82,0.58,0.5,0.76,0.06,2025-04-16 14:00:00
