co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
138.43,0.03,0.15,106.36,0.33,3.73,6.67,0.49,2025-04-11 13:00:00
138.59,0.03,0.15,105.72,0.31,3.81,6.76,0.49,2025-04-11 14:00:00
138.57,0.03,0.16,105.16,0.3,3.9,6.88,0.5,2025-04-11 15:00:00
138.77,0.02,0.19,105.09,0.29,4.0,7.03,0.5,2025-04-11 16:00:00
138.72,0.01,0.23,104.66,0.29,4.12,7.2,0.51,2025-04-11 17:00:00
138.76,0.0,0.27,104.23,0.29,4.21,7.31,0.52,2025-04-11 18:00:00
139.11,0.0,0.26,103.9,0.28,4.24,7.27,0.53,2025-04-11 19:00:00
139.31,0.0,0.25,103.59,0.27,4.22,7.13,0.54,2025-04-11 20:00:00
139.6,0.0,0.25,103.21,0.27,4.2,7.0,0.54,2025-04-11 21:00:00
139.7,0.0,0.25,102.82,0.27,4.15,6.86,0.54,2025-04-11 22:00:00
139.91,0.0,0.25,102.2,0.27,4.1,6.76,0.54,2025-04-11 23:00:00
140.01,0.0,0.25,101.58,0.27,4.06,6.72,0.53,2025-04-12 00:00:00
139.81,0.0,0.25,101.01,0.27,4.02,6.69,0.52,2025-04-12 01:00:00
139.76,0.0,0.25,100.5,0.27,3.96,6.63,0.51,2025-04-12 02:00:00
139.52,0.0,0.24,99.99,0.27,3.89,6.54,0.51,2025-04-12 03:00:00
139.69,0.0,0.24,100.14,0.27,3.81,6.42,0.51,2025-04-12 04:00:00
140.0,0.0,0.24,100.16,0.25,3.75,6.3,0.51,2025-04-12 05:00:00
140.21,0.01,0.29,100.17,0.24,3.74,6.23,0.5,2025-04-12 06:00:00
140.6,0.02,0.29,100.43,0.23,3.75,6.18,0.49,2025-04-12 07:00:00
140.8,0.03,0.26,101.31,0.22,3.79,6.17,0.47,2025-04-12 08:00:00
141.19,0.03,0.21,102.67,0.21,3.92,6.23,0.46,2025-04-12 09:00:00
141.54,0.03,0.17,104.23,0.26,4.3,6.52,0.4,2025-04-12 10:00:00
141.66,0.02,0.14,105.14,0.43,5.31,7.53,0.29,2025-04-12 11:00:00
141.22,0.02,0.13,105.32,0.67,6.95,9.25,0.21,2025-04-12 12:00:00
141.13,0.02,0.13,105.34,0.97,9.16,11.61,0.13,2025-04-12 13:00:00
140.46,0.02,0.15,105.09,1.3,11.76,14.4,0.07,2025-04-12 14:00:00
139.7,0.02,0.18,104.69,1.61,14.22,17.08,0.0,2025-04-12 15:00:00
139.53,0.01,0.22,104.47,1.79,15.96,19.0,0.0,2025-04-12 16:00:00
139.12,0.01,0.27,104.05,1.87,17.14,20.31,0.0,2025-04-12 17:00:00
138.9,0.0,0.31,103.86,1.88,18.03,21.29,0.0,2025-04-12 18:00:00
138.78,0.0,0.3,103.84,1.77,18.05,21.35,0.0,2025-04-12 19:00:00
139.06,0.0,0.3,103.84,1.58,17.43,20.79,0.0,2025-04-12 20:00:00
139.61,0.0,0.3,103.76,1.39,16.72,20.19,0.0,2025-04-12 21:00:00
140.69,0.0,0.3,103.91,1.17,15.79,19.41,0.0,2025-04-12 22:00:00
142.14,0.0,0.3,104.04,0.92,14.38,18.17,0.0,2025-04-12 23:00:00
143.94,0.0,0.3,104.5,0.71,12.81,16.82,0.0,2025-04-13 00:00:00
143.86,0.0,0.3,104.28,0.68,13.24,17.63,0.0,2025-04-13 01:00:00
145.43,0.0,0.3,104.53,0.54,11.31,15.72,0.0,2025-04-13 02:00:00
146.08,0.0,0.29,105.18,0.5,9.51,13.85,0.02,2025-04-13 03:00:00
145.69,0.0,0.28,106.5,0.54,8.39,12.75,0.04,2025-04-13 04:00:00
144.81,0.0,0.27,107.47,0.6,8.13,12.54,0.03,2025-04-13 05:00:00
143.93,0.0,0.33,107.97,0.69,8.41,12.92,0.0,2025-04-13 06:00:00
142.48,0.01,0.38,107.27,0.82,9.27,14.19,0.0,2025-04-13 07:00:00
141.37,0.02,0.41,105.38,1.09,10.55,16.17,0.0,2025-04-13 08:00:00
139.62,0.03,0.4,103.49,1.48,12.1,18.53,0.0,2025-04-13 09:00:00
137.75,0.04,0.33,102.59,1.77,13.71,20.68,0.0,2025-04-13 10:00:00
136.2,0.04,0.27,102.61,1.87,14.92,22.01,0.0,2025-04-13 11:00:00
135.11,0.03,0.22,103.1,1.9,15.76,22.94,0.0,2025-04-13 12:00:00
134.77,0.03,0.21,103.99,1.95,16.51,24.15,0.0,2025-04-13 13:00:00
134.16,0.02,0.24,104.49,2.09,17.21,25.23,0.0,2025-04-13 14:00:00
133.92,0.02,0.28,104.76,2.26,17.84,25.75,0.0,2025-04-13 15:00:00
134.34,0.01,0.35,105.51,2.36,18.15,25.68,0.0,2025-04-13 16:00:00
135.24,0.0,0.42,105.82,2.39,18.17,25.19,0.0,2025-04-13 17:00:00
136.32,0.0,0.46,106.04,2.38,18.03,24.54,0.0,2025-04-13 18:00:00
136.92,0.0,0.46,106.64,2.38,17.59,23.37,0.0,2025-04-13 19:00:00
136.67,0.0,0.44,107.29,2.67,18.39,24.06,0.0,2025-04-13 20:00:00
136.42,0.0,0.43,107.78,3.62,23.61,29.55,0.0,2025-04-13 21:00:00
137.01,0.0,0.43,107.67,5.11,37.0,42.95,0.0,2025-04-13 22:00:00
138.35,0.0,0.44,107.09,6.72,59.83,65.14,0.0,2025-04-13 23:00:00
140.32,0.0,0.47,106.21,8.48,87.47,92.56,0.0,2025-04-14 00:00:00
141.23,0.0,0.5,105.28,9.27,103.28,109.15,0.0,2025-04-14 01:00:00
139.99,0.0,0.49,104.08,7.91,93.63,101.19,0.0,2025-04-14 02:00:00
