co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
167.86,0.41,1.77,103.16,1.72,1.13,2.74,0.36,2025-04-11 13:00:00
165.8,0.29,1.45,104.51,1.5,1.19,2.67,0.29,2025-04-11 14:00:00
160.31,0.17,1.12,103.91,1.14,0.97,2.11,0.21,2025-04-11 15:00:00
155.91,0.09,0.94,101.33,0.82,0.71,1.45,0.13,2025-04-11 16:00:00
154.9,0.03,0.98,99.95,0.68,0.53,1.05,0.11,2025-04-11 17:00:00
156.75,0.0,1.1,100.52,0.68,0.5,0.91,0.13,2025-04-11 18:00:00
158.43,0.0,1.16,100.99,0.73,0.5,0.92,0.2,2025-04-11 19:00:00
158.2,0.0,1.28,99.38,0.74,0.5,0.95,0.33,2025-04-11 20:00:00
153.98,0.0,1.34,94.84,0.7,0.51,0.88,0.36,2025-04-11 21:00:00
149.81,0.0,1.25,92.03,0.62,0.53,0.8,0.26,2025-04-11 22:00:00
149.66,0.0,1.19,91.94,0.6,0.61,0.9,0.15,2025-04-11 23:00:00
150.64,0.0,1.31,91.36,0.68,0.83,1.23,0.13,2025-04-12 00:00:00
152.71,0.0,1.54,88.8,0.72,1.19,1.72,0.15,2025-04-12 01:00:00
153.59,0.0,1.7,82.82,0.61,1.57,2.19,0.19,2025-04-12 02:00:00
153.9,0.0,1.52,76.14,0.41,1.83,2.49,0.22,2025-04-12 03:00:00
152.51,0.0,1.13,70.93,0.25,2.25,3.08,0.22,2025-04-12 04:00:00
150.57,0.0,1.14,67.67,0.23,3.27,4.53,0.22,2025-04-12 05:00:00
150.32,0.05,1.61,65.39,0.27,4.07,5.65,0.27,2025-04-12 06:00:00
150.05,0.11,1.97,64.55,0.3,3.74,5.17,0.32,2025-04-12 07:00:00
148.08,0.18,2.04,65.14,0.3,2.86,3.95,0.36,2025-04-12 08:00:00
146.67,0.23,1.89,66.7,0.32,2.23,3.1,0.42,2025-04-12 09:00:00
147.12,0.26,1.59,68.8,0.33,2.0,2.79,0.44,2025-04-12 10:00:00
148.28,0.29,1.31,70.26,0.3,2.01,2.79,0.39,2025-04-12 11:00:00
150.56,0.3,1.14,71.24,0.29,2.18,2.99,0.32,2025-04-12 12:00:00
154.71,0.29,1.07,73.27,0.33,2.51,3.41,0.27,2025-04-12 13:00:00
159.63,0.28,1.2,75.16,0.38,2.96,3.99,0.2,2025-04-12 14:00:00
161.76,0.26,1.49,74.88,0.44,3.46,4.7,0.16,2025-04-12 15:00:00
161.52,0.22,1.94,73.34,0.55,3.88,5.36,0.12,2025-04-12 16:00:00
