co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
154.81,0.11,0.57,95.38,0.36,0.5,0.5,0.56,2025-04-11 13:00:00
155.68,0.08,0.58,96.47,0.33,0.5,0.5,0.63,2025-04-11 14:00:00
156.75,0.05,0.64,97.15,0.31,0.5,0.5,0.68,2025-04-11 15:00:00
156.69,0.03,0.73,97.02,0.31,0.5,0.5,0.7,2025-04-11 16:00:00
157.79,0.01,0.81,97.47,0.31,0.5,0.53,0.71,2025-04-11 17:00:00
158.69,0.0,0.8,97.92,0.32,0.5,0.55,0.69,2025-04-11 18:00:00
159.73,0.0,0.85,94.72,0.3,0.5,0.64,0.77,2025-04-11 19:00:00
162.25,0.0,0.95,90.17,0.26,0.53,0.75,0.9,2025-04-11 20:00:00
163.24,0.0,0.96,87.33,0.25,0.54,0.75,1.01,2025-04-11 21:00:00
162.38,0.0,0.86,85.98,0.26,0.52,0.72,1.11,2025-04-11 22:00:00
161.22,0.0,0.75,86.47,0.26,0.51,0.7,1.09,2025-04-11 23:00:00
159.29,0.0,0.68,87.37,0.29,0.51,0.69,1.04,2025-04-12 00:00:00
157.98,0.0,0.58,90.77,0.32,0.51,0.67,0.98,2025-04-12 01:00:00
157.09,0.0,0.53,91.39,0.35,0.5,0.63,0.9,2025-04-12 02:00:00
156.59,0.0,0.52,92.18,0.37,0.5,0.63,0.82,2025-04-12 03:00:00
155.18,0.0,0.43,96.92,0.39,0.5,0.57,0.49,2025-04-12 04:00:00
154.79,0.0,0.57,96.46,0.41,0.5,0.57,0.37,2025-04-12 05:00:00
155.17,0.01,0.95,95.6,0.48,0.54,0.67,0.38,2025-04-12 06:00:00
156.39,0.04,1.36,96.15,0.52,0.56,0.8,0.42,2025-04-12 07:00:00
156.54,0.05,1.54,96.95,0.51,0.56,0.9,0.45,2025-04-12 08:00:00
155.17,0.06,1.52,96.28,0.48,0.56,0.96,0.56,2025-04-12 09:00:00
154.36,0.06,1.55,95.94,0.52,0.64,1.12,0.67,2025-04-12 10:00:00
152.61,0.06,1.57,95.51,0.59,1.06,1.68,0.6,2025-04-12 11:00:00
152.0,0.07,1.52,94.27,0.6,1.94,2.84,0.42,2025-04-12 12:00:00
154.64,0.08,1.59,90.93,0.54,3.11,4.3,0.27,2025-04-12 13:00:00
156.21,0.08,1.74,85.87,0.45,4.05,5.39,0.2,2025-04-12 14:00:00
156.27,0.07,1.82,82.02,0.4,4.45,5.81,0.18,2025-04-12 15:00:00
156.0,0.07,1.86,79.4,0.36,4.29,5.6,0.18,2025-04-12 16:00:00
155.95,0.03,1.97,77.77,0.33,3.8,5.0,0.19,2025-04-12 17:00:00
155.53,0.0,1.91,77.2,0.31,3.11,4.15,0.19,2025-04-12 18:00:00
154.87,0.0,1.67,77.75,0.27,2.34,3.21,0.19,2025-04-12 19:00:00
153.6,0.0,1.39,79.51,0.24,1.63,2.33,0.18,2025-04-12 20:00:00
152.12,0.0,1.13,81.45,0.2,1.1,1.65,0.19,2025-04-12 21:00:00
149.75,0.0,0.97,80.14,0.16,0.82,1.28,0.23,2025-04-12 22:00:00
149.94,0.0,0.92,77.13,0.14,0.72,1.15,0.32,2025-04-12 23:00:00
150.12,0.0,0.9,74.18,0.15,0.68,1.12,0.46,2025-04-13 00:00:00
149.21,0.0,1.05,72.16,0.19,0.63,0.98,0.79,2025-04-13 01:00:00
149.39,0.0,1.03,68.87,0.19,0.68,1.04,0.79,2025-04-13 02:00:00
149.96,0.0,1.02,66.16,0.2,0.75,1.13,0.78,2025-04-13 03:00:00
149.82,0.0,1.14,63.92,0.19,0.81,1.24,0.56,2025-04-13 04:00:00
149.91,0.08,1.43,62.73,0.18,0.73,1.23,0.4,2025-04-13 05:00:00
149.82,0.21,1.3,63.18,0.21,0.73,1.3,0.5,2025-04-13 06:00:00
149.47,0.25,1.0,66.75,0.24,0.78,1.39,0.6,2025-04-13 07:00:00
147.18,0.22,0.74,68.45,0.22,0.76,1.4,0.59,2025-04-13 08:00:00
144.89,0.17,0.55,70.29,0.19,0.71,1.39,0.51,2025-04-13 09:00:00
144.89,0.12,0.38,80.61,0.17,0.84,1.43,0.28,2025-04-13 10:00:00
147.26,0.16,0.51,85.2,0.23,1.34,2.02,0.24,2025-04-13 11:00:00
150.95,0.17,0.61,90.83,0.3,2.03,2.78,0.24,2025-04-13 12:00:00
153.94,0.14,0.61,97.33,0.32,2.65,3.47,0.25,2025-04-13 13:00:00
155.69,0.11,0.59,101.05,0.3,3.16,4.08,0.27,2025-04-13 14:00:00
156.49,0.08,0.6,102.75,0.28,3.52,4.62,0.3,2025-04-13 15:00:00
