co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
155.45,0.21,2.54,93.13,1.31,1.33,1.62,1.1,2025-04-11 13:00:00
155.38,0.16,2.63,93.09,1.32,1.26,1.54,1.14,2025-04-11 14:00:00
155.31,0.11,2.84,92.81,1.32,1.17,1.44,1.18,2025-04-11 15:00:00
155.82,0.07,3.16,91.85,1.32,1.08,1.4,1.34,2025-04-11 16:00:00
155.26,0.01,3.33,90.91,1.48,1.01,1.44,1.58,2025-04-11 17:00:00
154.15,0.0,3.12,90.66,1.62,1.03,1.56,1.78,2025-04-11 18:00:00
153.7,0.0,2.84,90.95,1.7,1.14,1.82,2.0,2025-04-11 19:00:00
154.44,0.0,2.75,90.6,1.83,1.32,2.15,2.24,2025-04-11 20:00:00
155.73,0.0,2.79,89.77,1.86,1.57,2.54,2.41,2025-04-11 21:00:00
156.46,0.0,2.77,88.23,1.71,1.9,2.95,2.48,2025-04-11 22:00:00
157.73,0.0,2.69,86.67,1.59,2.31,3.48,2.54,2025-04-11 23:00:00
159.54,0.0,2.65,84.64,1.5,2.81,4.13,2.52,2025-04-12 00:00:00
160.98,0.0,2.67,81.75,1.33,3.38,4.83,2.44,2025-04-12 01:00:00
164.25,0.0,2.83,77.5,1.15,4.05,5.69,2.42,2025-04-12 02:00:00
166.98,0.0,3.08,72.99,1.05,4.81,6.64,2.47,2025-04-12 03:00:00
167.71,0.0,3.4,68.07,1.09,5.52,7.55,2.53,2025-04-12 04:00:00
169.76,0.07,4.19,64.91,1.55,6.25,8.56,2.69,2025-04-12 05:00:00
171.8,0.54,4.41,65.08,2.13,6.78,9.34,2.9,2025-04-12 06:00:00
170.57,0.9,3.9,69.08,2.63,7.16,9.8,3.12,2025-04-12 07:00:00
167.76,0.98,3.54,72.36,2.97,7.63,10.33,3.96,2025-04-12 08:00:00
164.42,0.9,3.19,76.77,3.22,8.42,11.18,4.72,2025-04-12 09:00:00
152.71,0.34,1.65,93.07,2.1,4.81,6.44,3.0,2025-04-12 10:00:00
145.13,0.17,1.04,96.65,1.56,2.42,3.53,2.5,2025-04-12 11:00:00
142.97,0.14,0.96,96.98,1.51,2.19,3.21,2.59,2025-04-12 12:00:00
143.72,0.15,1.11,97.45,1.66,2.33,3.39,3.13,2025-04-12 13:00:00
144.7,0.16,1.58,95.32,2.01,2.55,3.76,4.16,2025-04-12 14:00:00
146.74,0.15,2.19,93.19,2.32,2.7,4.07,5.04,2025-04-12 15:00:00
150.23,0.1,2.93,91.52,2.67,3.02,4.56,5.97,2025-04-12 16:00:00
155.18,0.03,3.58,89.14,3.07,3.59,5.4,7.22,2025-04-12 17:00:00
159.09,0.0,3.72,87.43,3.23,4.24,6.33,8.48,2025-04-12 18:00:00
160.22,0.0,3.51,84.73,3.04,4.83,7.13,9.29,2025-04-12 19:00:00
161.82,0.0,3.34,83.36,2.8,5.37,7.85,9.32,2025-04-12 20:00:00
162.88,0.0,3.25,81.52,2.44,5.75,8.32,8.3,2025-04-12 21:00:00
161.68,0.0,3.07,77.98,1.85,5.89,8.43,6.7,2025-04-12 22:00:00
162.04,0.0,2.96,75.09,1.47,5.93,8.41,5.19,2025-04-12 23:00:00
163.5,0.0,2.92,72.2,1.28,5.93,8.33,3.98,2025-04-13 00:00:00
163.37,0.0,2.77,71.04,1.19,6.56,8.84,4.05,2025-04-13 01:00:00
165.3,0.0,2.86,66.89,1.03,6.7,9.0,3.39,2025-04-13 02:00:00
167.98,0.0,3.02,62.87,0.95,6.97,9.34,3.08,2025-04-13 03:00:00
169.83,0.0,3.25,59.08,1.0,7.28,9.71,3.12,2025-04-13 04:00:00
173.06,0.1,3.97,57.28,1.48,7.71,10.29,3.8,2025-04-13 05:00:00
177.9,0.63,4.23,57.77,2.1,8.34,11.07,4.9,2025-04-13 06:00:00
182.19,1.17,3.98,60.2,2.61,9.13,11.98,6.28,2025-04-13 07:00:00
180.1,1.29,3.5,62.8,2.96,9.9,12.8,7.51,2025-04-13 08:00:00
173.19,1.0,2.81,70.32,3.1,11.09,13.89,7.83,2025-04-13 09:00:00
141.3,0.23,0.92,94.34,1.77,5.24,6.6,4.33,2025-04-13 10:00:00
134.2,0.13,0.54,96.76,1.28,4.19,5.26,3.81,2025-04-13 11:00:00
132.51,0.11,0.49,97.96,1.19,4.33,5.38,3.86,2025-04-13 12:00:00
134.02,0.1,0.52,100.5,1.22,4.68,5.79,4.09,2025-04-13 13:00:00
135.11,0.1,0.64,101.75,1.35,5.18,6.4,4.53,2025-04-13 14:00:00
136.81,0.09,0.86,102.01,1.49,5.61,6.96,5.09,2025-04-13 15:00:00
140.25,0.04,1.36,100.58,1.73,5.89,7.39,6.12,2025-04-13 16:00:00
143.79,0.01,1.95,97.5,2.08,6.01,7.7,7.52,2025-04-13 17:00:00
147.19,0.0,2.36,94.17,2.41,5.93,7.79,8.77,2025-04-13 18:00:00
148.37,0.0,2.69,88.92,2.67,5.65,7.63,9.81,2025-04-13 19:00:00
152.68,0.0,3.15,84.88,3.05,5.63,7.8,10.95,2025-04-13 20:00:00
158.25,0.0,3.63,81.81,3.47,5.82,8.18,11.93,2025-04-13 21:00:00
161.66,0.0,3.89,79.78,3.77,6.26,8.64,11.93,2025-04-13 22:00:00
165.22,0.0,3.9,78.72,3.75,6.79,9.05,10.95,2025-04-13 23:00:00
167.55,0.0,3.67,77.35,3.36,6.95,8.96,9.2,2025-04-14 00:00:00
166.69,0.0,3.31,75.06,2.8,6.53,8.25,7.41,2025-04-14 01:00:00
165.88,0.0,3.07,72.71,2.33,6.1,7.67,6.53,2025-04-14 02:00:00
164.9,0.0,2.96,69.98,2.03,5.85,7.41,6.07,2025-04-14 03:00:00
164.48,0.0,3.05,67.41,1.98,5.77,7.42,5.96,2025-04-14 04:00:00
