co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime
136.97,0.21,1.04,115.32,1.14,4.26,5.51,3.22,2025-04-11 13:00:00
135.49,0.21,1.12,115.08,1.12,4.19,5.41,3.11,2025-04-11 14:00:00
133.96,0.21,1.38,114.16,1.11,4.0,5.19,3.04,2025-04-11 15:00:00
135.35,0.17,2.07,111.46,1.13,3.87,5.1,3.21,2025-04-11 16:00:00
139.69,0.08,2.98,108.16,1.21,4.0,5.36,3.67,2025-04-11 17:00:00
144.82,0.0,3.43,105.76,1.29,4.36,5.88,4.17,2025-04-11 18:00:00
146.33,0.0,3.37,103.1,1.32,4.43,6.0,4.57,2025-04-11 19:00:00
148.95,0.0,3.29,102.23,1.33,4.3,5.86,4.96,2025-04-11 20:00:00
150.48,0.0,3.2,101.83,1.3,4.23,5.76,5.25,2025-04-11 21:00:00
151.44,0.0,3.39,98.13,1.21,4.5,6.04,5.83,2025-04-11 22:00:00
153.66,0.0,3.43,93.06,1.04,5.07,6.66,6.44,2025-04-11 23:00:00
154.72,0.0,3.19,89.01,0.89,5.78,7.4,6.55,2025-04-12 00:00:00
153.34,0.0,3.02,82.27,0.71,6.31,7.93,6.01,2025-04-12 01:00:00
154.15,0.0,3.09,74.92,0.59,6.61,8.31,5.43,2025-04-12 02:00:00
155.55,0.0,3.32,69.27,0.59,6.85,8.66,5.83,2025-04-12 03:00:00
156.29,0.0,3.73,64.33,0.65,6.97,8.89,6.81,2025-04-12 04:00:00
163.44,0.02,5.14,58.39,0.68,7.19,9.33,5.94,2025-04-12 05:00:00
172.97,0.64,6.65,54.32,0.72,7.5,9.9,4.77,2025-04-12 06:00:00
176.82,1.69,6.27,55.59,0.84,7.7,10.22,4.66,2025-04-12 07:00:00
179.43,2.4,5.68,54.46,0.87,7.77,10.38,5.52,2025-04-12 08:00:00
177.25,2.41,5.02,56.92,0.97,7.99,10.54,5.92,2025-04-12 09:00:00
145.17,0.48,1.88,85.29,1.22,6.71,8.18,3.97,2025-04-12 10:00:00
140.53,0.27,1.24,90.93,1.07,6.45,7.81,3.89,2025-04-12 11:00:00
139.52,0.22,1.08,93.06,1.01,6.6,7.98,4.06,2025-04-12 12:00:00
140.31,0.2,1.03,96.11,1.0,6.84,8.3,4.3,2025-04-12 13:00:00
140.0,0.19,1.05,97.96,0.98,7.13,8.65,4.4,2025-04-12 14:00:00
139.69,0.2,1.21,98.72,0.94,7.02,8.57,4.53,2025-04-12 15:00:00
141.89,0.21,1.75,97.38,0.9,6.9,8.51,4.9,2025-04-12 16:00:00
145.76,0.13,2.69,93.06,0.86,6.86,8.59,5.48,2025-04-12 17:00:00
149.6,0.01,3.38,89.02,0.8,6.76,8.6,5.67,2025-04-12 18:00:00
152.35,0.0,3.83,82.78,0.67,6.42,8.33,5.43,2025-04-12 19:00:00
158.82,0.0,4.49,76.17,0.54,6.16,8.19,4.78,2025-04-12 20:00:00
163.51,0.0,5.04,70.58,0.46,6.12,8.28,3.68,2025-04-12 21:00:00
164.26,0.0,5.49,64.93,0.45,6.34,8.61,4.42,2025-04-12 22:00:00
166.13,0.0,5.82,61.46,0.5,6.73,9.19,6.54,2025-04-12 23:00:00
168.78,0.0,5.93,59.18,0.55,7.18,9.82,8.55,2025-04-13 00:00:00
176.46,0.0,6.05,52.33,0.58,9.3,12.35,8.33,2025-04-13 01:00:00
178.31,0.0,5.88,52.45,0.68,9.99,13.25,9.36,2025-04-13 02:00:00
179.63,0.0,5.82,52.64,0.77,10.73,14.16,10.01,2025-04-13 03:00:00
181.45,0.0,5.93,52.38,0.81,11.65,15.24,7.85,2025-04-13 04:00:00
188.76,0.03,7.23,51.11,0.95,12.77,16.6,6.65,2025-04-13 05:00:00
200.16,0.71,9.18,51.24,1.23,14.01,18.11,7.6,2025-04-13 06:00:00
207.02,1.54,9.97,53.78,1.44,15.01,19.24,8.31,2025-04-13 07:00:00
206.1,2.21,8.65,53.95,1.25,15.43,19.61,7.12,2025-04-13 08:00:00
198.78,2.19,7.03,59.25,1.26,15.51,19.47,6.49,2025-04-13 09:00:00
166.12,0.28,3.34,104.17,1.44,10.9,12.98,4.41,2025-04-13 10:00:00
161.52,0.23,2.53,107.72,1.13,7.19,8.56,3.99,2025-04-13 11:00:00
160.27,0.21,2.3,106.95,0.94,5.38,6.39,3.56,2025-04-13 12:00:00
156.98,0.15,2.11,106.31,0.8,4.01,4.79,3.15,2025-04-13 13:00:00
152.66,0.15,1.95,105.29,0.73,3.39,4.08,2.85,2025-04-13 14:00:00
148.68,0.15,1.95,104.19,0.7,3.14,3.78,2.71,2025-04-13 15:00:00
147.54,0.18,2.65,96.14,0.63,3.09,3.77,2.89,2025-04-13 16:00:00
151.41,0.12,3.99,84.57,0.59,3.11,3.93,2.93,2025-04-13 17:00:00
155.82,0.01,4.78,77.78,0.58,3.11,4.1,2.81,2025-04-13 18:00:00
157.97,0.0,5.06,73.22,0.58,3.19,4.36,3.24,2025-04-13 19:00:00
162.08,0.0,5.37,69.61,0.57,3.42,4.8,3.88,2025-04-13 20:00:00
164.52,0.0,5.68,65.99,0.56,3.71,5.28,4.38,2025-04-13 21:00:00
161.79,0.0,5.75,61.6,0.51,4.0,5.68,4.84,2025-04-13 22:00:00
162.26,0.0,5.75,56.88,0.51,4.32,6.17,5.66,2025-04-13 23:00:00
164.09,0.0,5.6,53.17,0.56,4.69,6.71,6.81,2025-04-14 00:00:00
165.21,0.0,5.37,49.43,0.6,5.02,7.18,7.57,2025-04-14 01:00:00
167.16,0.0,5.19,45.6,0.56,5.34,7.64,6.66,2025-04-14 02:00:00
168.77,0.0,5.12,42.54,0.48,5.62,8.03,5.07,2025-04-14 03:00:00
170.17,0.0,5.31,40.15,0.44,5.85,8.35,3.84,2025-04-14 04:00:00
178.76,0.04,6.65,38.09,0.54,6.18,8.89,3.37,2025-04-14 05:00:00
188.71,0.83,7.94,38.97,0.71,6.44,9.34,3.15,2025-04-14 06:00:00
188.7,2.05,6.89,48.82,1.06,6.35,9.24,3.09,2025-04-14 07:00:00
188.17,2.63,6.18,50.56,1.12,5.98,8.9,3.94,2025-04-14 08:00:00
184.93,2.69,5.45,53.34,1.19,5.66,8.51,4.51,2025-04-14 09:00:00
139.16,0.31,2.17,93.22,1.15,2.72,3.83,1.86,2025-04-14 10:00:00
130.4,0.17,1.29,97.35,0.78,2.18,2.88,1.55,2025-04-14 11:00:00
128.17,0.15,1.14,97.61,0.72,2.07,2.69,1.52,2025-04-14 12:00:00
128.69,0.14,1.24,97.42,0.76,2.04,2.64,1.6,2025-04-14 13:00:00
130.04,0.15,1.68,95.02,0.87,2.11,2.76,1.84,2025-04-14 14:00:00
132.06,0.13,2.43,91.69,0.97,2.24,2.95,2.06,2025-04-14 15:00:00
135.53,0.08,3.65,86.7,1.07,2.51,3.3,2.48,2025-04-14 16:00:00
142.33,0.03,5.08,80.42,1.14,2.97,3.94,3.09,2025-04-14 17:00:00
149.51,0.0,5.94,75.09,1.15,3.56,4.73,3.0,2025-04-14 18:00:00
152.59,0.0,6.14,69.73,1.06,3.91,5.07,2.41,2025-04-14 19:00:00
157.76,0.0,6.29,65.44,0.92,4.15,5.22,2.08,2025-04-14 20:00:00
160.92,0.0,6.38,61.41,0.8,4.43,5.45,1.78,2025-04-14 21:00:00
159.36,0.0,6.2,57.23,0.67,4.88,5.79,1.48,2025-04-14 22:00:00
158.16,0.0,5.78,53.93,0.55,5.46,6.27,1.29,2025-04-14 23:00:00
156.61,0.0,5.15,51.87,0.47,6.06,6.79,1.23,2025-04-15 00:00:00
153.36,0.0,4.5,51.06,0.45,6.57,7.22,1.18,2025-04-15 01:00:00
150.64,0.0,3.98,51.66,0.46,6.89,7.48,1.11,2025-04-15 02:00:00
148.44,0.0,3.68,52.59,0.51,6.97,7.51,1.01,2025-04-15 03:00:00
146.43,0.0,3.47,54.18,0.58,6.63,7.09,0.9,2025-04-15 04:00:00
147.67,0.0,3.83,51.74,0.6,6.09,6.56,0.94,2025-04-15 05:00:00
151.28,0.04,4.84,48.57,0.63,5.73,6.25,1.0,2025-04-15 06:00:00
154.66,0.18,5.55,46.63,0.67,5.61,6.17,1.0,2025-04-15 07:00:00
156.29,0.33,5.52,47.25,0.72,5.42,6.02,0.93,2025-04-15 08:00:00
154.7,0.44,4.91,51.91,0.76,4.99,5.54,0.85,2025-04-15 09:00:00
147.48,0.35,3.66,65.52,0.69,4.28,4.74,0.76,2025-04-15 10:00:00
142.07,0.26,3.02,72.62,0.67,3.71,4.13,0.79,2025-04-15 11:00:00
139.2,0.21,2.62,76.6,0.64,3.14,3.54,0.84,2025-04-15 12:00:00
138.05,0.15,2.32,80.03,0.58,2.59,2.93,0.79,2025-04-15 13:00:00
137.26,0.13,2.33,79.06,0.56,2.27,2.58,0.78,2025-04-15 14:00:00
136.3,0.11,2.57,76.57,0.56,1.91,2.2,0.77,2025-04-15 15:00:00
135.55,0.1,2.95,73.17,0.56,1.42,1.73,0.81,2025-04-15 16:00:00
137.35,0.06,3.44,70.29,0.6,1.03,1.41,0.92,2025-04-15 17:00:00
138.82,0.01,3.82,67.62,0.65,0.9,1.36,1.01,2025-04-15 18:00:00
140.87,0.0,4.02,64.62,0.7,0.91,1.5,1.12,2025-04-15 19:00:00
143.85,0.0,4.27,61.5,0.77,1.03,1.79,1.26,2025-04-15 20:00:00
145.65,0.0,4.42,59.38,0.78,1.13,1.99,1.31,2025-04-15 21:00:00
144.87,0.0,4.39,56.44,0.71,1.17,2.08,1.35,2025-04-15 22:00:00
145.05,0.0,4.21,52.88,0.61,1.25,2.2,1.43,2025-04-15 23:00:00
145.23,0.0,3.92,50.11,0.56,1.35,2.36,1.52,2025-04-16 00:00:00
145.04,0.0,3.69,46.39,0.5,1.49,2.54,1.69,2025-04-16 01:00:00
145.85,0.0,3.6,41.99,0.44,1.6,2.68,1.86,2025-04-16 02:00:00
147.33,0.0,3.66,38.64,0.43,1.71,2.8,2.04,2025-04-16 03:00:00
149.42,0.0,3.9,35.44,0.45,1.84,2.98,2.04,2025-04-16 04:00:00
158.23,0.07,4.89,31.36,0.51,2.02,3.35,1.87,2025-04-16 05:00:00
169.75,0.99,5.59,28.8,0.61,2.18,3.76,1.78,2025-04-16 06:00:00
177.16,2.34,5.1,28.67,0.72,2.24,4.15,1.73,2025-04-16 07:00:00
182.62,3.08,4.74,29.94,0.82,2.47,4.65,2.16,2025-04-16 08:00:00
180.97,2.84,4.48,37.71,1.04,2.86,5.14,2.79,2025-04-16 09:00:00
142.01,0.52,1.78,78.34,1.03,2.14,3.28,1.23,2025-04-16 10:00:00
133.22,0.25,1.05,84.66,0.86,2.17,3.17,1.1,2025-04-16 11:00:00
129.19,0.2,0.91,86.83,0.85,2.4,3.65,1.14,2025-04-16 12:00:00
127.49,0.17,0.94,88.3,0.86,2.64,4.49,1.19,2025-04-16 13:00:00
126.45,0.17,1.11,88.38,0.85,3.1,6.19,1.32,2025-04-16 14:00:00
